Time Step,Lower X Limit,Upper X Limit,Lower Y Limit,Upper Y Limit
1,0,730,0,899
2,0,730,0,899
3,0,730,0,899
4,0,730,0,899
5,0,730,0,907
6,0,730,0,907
7,0,730,0,903
8,0,730,0,903
9,0,730,0,903
10,0,730,0,903
11,0,730,0,906
12,0,730,0,906
13,0,730,0,906
14,0,730,0,906
15,0,730,0,908
16,0,730,0,908
17,0,730,0,908
18,0,730,0,908
19,0,730,0,908
20,0,730,0,908
21,0,730,0,908
22,0,730,0,908
23,0,730,0,908
24,0,730,0,908
25,0,730,0,908
26,0,730,0,908
27,0,730,0,908
28,0,730,0,908
29,0,730,0,912
30,0,730,0,912
31,0,730,0,912
32,0,730,0,912
33,0,730,0,912
34,0,730,0,912
35,0,730,0,912
