Time Step,Lower X Limit,Upper X Limit,Lower Y Limit,Upper Y Limit
1,32,674,12,894
2,28,664,14,899
3,28,664,14,899
4,26,664,16,896
5,24,654,16,900
6,24,654,20,900
7,20,654,20,904
8,20,654,20,904
9,20,654,20,904
10,20,646,20,904
11,16,648,26,900
12,16,648,20,900
13,16,648,22,900
14,12,646,26,904
15,12,646,26,904
16,12,646,26,904
17,12,646,26,904
18,12,642,26,904
19,10,642,18,904
20,10,642,18,904
21,10,640,18,904
22,10,640,18,904
23,10,640,26,904
24,4,640,26,904
25,0,636,26,904
26,0,636,26,904
27,0,636,26,904
28,0,632,30,904
29,0,632,30,904
30,0,632,30,904
31,0,632,30,904
32,0,632,34,912
33,0,632,34,912
34,0,632,34,912
35,0,634,34,912
