stepNum,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,length,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_Expanded,Neighbors_FirstClosestDistance_Expanded,Neighbors_FirstClosestObjectNumber_Expanded,Neighbors_NumberOfNeighbors_Expanded,Neighbors_PercentTouching_Expanded,Neighbors_SecondClosestDistance_Expanded,Neighbors_SecondClosestObjectNumber_Expanded,Number_Object_Number,Parent_RunOmnipose,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,label,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50,endppoint1_X,endppoint1_Y,endppoint2_X,endppoint2_Y,noise_bac,id,divideFlag,daughters_index,bad_division_flag,unexpected_end,division_time,transition,LifeHistory,parent_id,daughter_orientation,daughter_length_to_mother,daughter_distance_to_mother,bac_length_to_back,bac_length_to_back_orientation_changes,max_daughter_len_to_mother,bacteria_movement,bacteria_slope,cellType,cellAge,growthRate,startVol,targetVol,pos,time,radius,dir,ends,strainRate,strainRate_rolling,unknown_cell_type
1,1,267,561,114,82,81,65,13.980404494382018,10.515775280898875,1.9162482732269024,301,0.9676632128245496,18.437867513470437,1,0.4759358288770053,0.5218530468998316,5.357198740961799,34.17601498127012,4.47213595499958,2.30534703533202,2.23606797749979,8.82829675132252,1.351330488509668,-0.3879744994809623,80.18376618407356,0.8870431893687708,13.980404494382018,10.515775280898875,0,0.0,8.947750476570246,2,1.0,49.62311557788945,0.0,0,1,1,0.0,0.0,,0.0,1,1,,0.0,0,0.0,0.0,16.45992295030382,9.502423015255859,11.500886038460216,11.529127546541892,False,1,True,"[10, 12]",False,False,6,False,5,0,,,,,,,,-0.40868914011220203,1,1,0.034,5.357198740961799,6.900607504272286,"[13.980404494382018, 10.515775280898875]",1.5,0.675665244254834,"[0.9256772338734045, -0.37831423273316367]","[[16.45992295030382, 9.502423015255859], [11.500886038460216, 11.529127546541892]]",0.0,0.0,False
1,2,264,540,117,90,87,72,14.631818181818181,11.627454545454546,1.7877434423516545,295,0.9596562653541834,18.333991376950163,1,0.4888888888888889,0.5593643787525622,5.069757852519182,31.78049716414141,5.0,2.3836520592318053,2.23606797749979,9.34719542804484,1.4254934170698021,-0.43806468815593125,77.01219330881975,0.8949152542372881,14.631818181818181,11.627454545454546,0,0.0,8.947750476570246,1,1.0,50.25445292620865,0.0,0,2,2,0.0,0.0,,0.0,2,1,,0.0,0,0.0,0.0,16.927339375979667,10.552190104514363,12.336296987656695,12.702718986394729,False,2,True,"[20, 22]",False,False,9,False,8,0,,,,,,,,-0.4684184331101148,1,1,0.043,5.069757852519182,8.457471437903164,"[14.631818181818181, 11.627454545454546]",1.5,0.7127467085349011,"[0.9055742940546292, -0.42418769188586797]","[[16.927339375979667, 10.552190104514363], [12.336296987656695, 12.702718986394729]]",0.0,0.0,False
2,1,305,770,114,87,79,65,13.753180327868852,10.674413114754097,2.2123390208850595,366,0.9713423366740556,19.70629496237749,1,0.3961038961038961,0.4520102889113007,6.042235338768653,38.01315561749642,4.47213595499958,2.2914958178985665,2.23606797749979,10.394227032583204,1.4361475086430329,-0.46572571159553605,92.08326112068522,0.8333333333333334,13.753180327868852,10.674413114754097,0,0.0,9.079351472145294,2,1.0,42.89473684210526,0.0,0,1,1,1.9244606048681527,1.9244606048681527,,1.9244606048681527,1,2,1.0,1.0,1,-1.5779456007858954,1.1016516239945986,16.45253659289853,9.317715754724524,11.053824062839174,12.03111047478367,False,1,True,"[10, 12]",False,False,6,False,5,0,,,,1.127872164340102,4.454816306191526,,0.18485489003190866,-0.5026003338668811,1,2,0.034,5.357198740961799,6.900607504272286,"[13.753180327868852, 10.674413114754097]",3.0,0.7180737543215164,"[0.8934959046397486, -0.4490713399806286]","[[16.45253659289853, 9.317715754724524], [11.053824062839174, 12.03111047478367]]",0.12787216434010187,0.06393608217005094,False
2,2,271,608,118,90,86,71,14.672590405904058,11.603955719557195,1.8718396887184212,302,0.9636353655998716,18.575465448360347,1,0.4457236842105263,0.5342337840291561,5.259205615238335,33.61547262794322,5.0,2.365333365257178,2.23606797749979,8.94427190999916,1.4053684057584412,-0.45178952061647104,79.84062043356595,0.8973509933774835,14.672590405904058,11.603955719557195,0,0.0,9.079351472145294,1,1.0,47.521865889212826,0.0,0,2,2,0.3268000568744967,0.3268000568744967,,0.3268000568744967,2,2,1.0,1.0,2,0.2831404450408143,-0.1631862909538171,17.03835801444188,10.455933703987874,12.306822797366237,12.751977735126516,False,2,True,"[20, 22]",False,False,9,False,8,0,,,,1.037368207364187,0.7863749745131068,,0.0470592081899281,-0.4852640688063457,1,2,0.043,5.069757852519182,8.457471437903164,"[14.672590405904058, 11.603955719557195]",3.0,0.7026842028792206,"[0.8996672811890472, -0.4365762054417396]","[[17.03835801444188, 10.455933703987874], [12.306822797366237, 12.751977735126516]]",0.037368207364187,0.0186841036820935,False
3,1,315,828,115,87,79,64,13.766857142857141,10.655085714285713,2.360774261291268,395,0.9735931057416132,20.02674353437364,1,0.3804347826086957,0.4235898435511712,6.351147078137382,39.35733730830886,4.47213595499958,2.2558599472881826,2.0,10.992614040881117,1.4499053188052151,-0.46535862518713356,96.66904755831212,0.7974683544303798,13.766857142857141,10.655085714285713,0,0.0,9.011176045938116,2,1.0,42.695214105793454,0.0,0,1,1,1.770627278231135,0.1644241021062794,,2.088884706974432,1,3,0.8476424152655772,2.0,1,0.0949778818631301,-0.13421805880823,16.604742390615023,9.230068302956491,10.92897189509926,12.080103125614935,False,1,True,"[10, 12]",False,False,6,False,5,0,,,,1.0511254067491655,0.021032501918076364,,0.02367707070330238,-0.5021406036255626,1,3,0.034,5.357198740961799,6.900607504272286,"[13.766857142857141, 10.655085714285713]",4.5,0.7249526594026076,"[0.8936606924209842, -0.44874331952871116]","[[16.604742390615023, 9.230068302956491], [10.92897189509926, 12.080103125614935]]",0.05112540674916548,0.05966585702975578,False
3,2,279,589,118,90,87,71,14.681806451612902,11.575225806451613,1.8181668661028396,305,0.962650616506671,18.84764794294265,1,0.4736842105263157,0.5500045230410869,5.294373465851229,33.54101966249684,5.0,2.409205334115168,2.23606797749979,9.391485505499118,1.4334342908962698,-0.45392477026987366,79.84062043356595,0.9147540983606556,14.681806451612902,11.575225806451613,0,0.0,9.011176045938116,1,1.0,50.07385524372231,0.0,0,2,2,0.502053474931787,0.2095270667560812,,0.5363271236305779,2,3,0.9360956267384332,2.0,2,0.0640003174225256,-0.1995132854554384,17.06092060979439,10.414444422504669,12.302692293431413,12.736007190398556,False,2,True,"[20, 22]",False,False,9,False,8,0,,,,1.0066869130408207,0.12234079334674372,,0.016496040787515293,-0.4879048699513453,1,3,0.043,5.069757852519182,8.457471437903164,"[14.681806451612902, 11.575225806451613]",4.5,0.7167171454481349,"[0.8987330317843281, -0.43849622299371066]","[[17.06092060979439, 10.414444422504669], [12.302692293431413, 12.736007190398556]]",0.006686913040820627,0.014685040135002542,False
4,1,328,874,116,87,78,64,13.79941463414634,10.637560975609755,2.37362179655131,404,0.9767939472812278,20.435815879801165,1,0.3752860411899313,0.4212971086855215,6.63006791643001,41.14608122288197,4.47213595499958,2.279312848159684,2.23606797749979,10.58701589969418,1.4200358733447878,-0.4523446766775641,98.91168824543142,0.8118811881188119,13.79941463414634,10.637560975609755,0,0.0,9.00724247415958,2,1.0,43.46733668341709,0.0,0,1,1,1.5149251827830033,0.2567667088642867,,2.3456514158387187,1,4,0.6458441235358586,3.0,1,0.2260936895083176,-0.1216995741385886,16.7810383049278,9.188640539576664,10.817790963364878,12.086481411642847,False,1,True,"[10, 12]",False,False,6,False,5,0,,,,1.043916608269514,0.7456443243989079,,0.03697440607645825,-0.48595013858785885,1,4,0.034,5.357198740961799,6.900607504272286,"[13.79941463414634, 10.637560975609755]",6.0,0.7100179366723939,"[0.8994247746369785, -0.4370755938841936]","[[16.7810383049278, 9.188640539576664], [10.817790963364878, 12.086481411642847]]",0.04391660826951396,0.055728544839695325,False
4,2,295,660,119,91,86,71,14.665057627118642,11.603471186440677,1.922758468404224,331,0.9684061542207854,19.38054864282415,1,0.4469696969696969,0.520086124405392,5.687559527534701,35.77708763999664,5.0,2.395440546680448,2.23606797749979,9.391485505499118,1.4183537431727775,-0.44285115974639255,84.42640687119285,0.8912386706948641,14.665057627118642,11.603471186440677,0,0.0,9.00724247415958,1,1.0,50.217706821480405,0.0,0,2,2,0.2846427932459269,0.2280406482670594,,0.7643677718976374,2,4,0.3723898412661565,3.0,2,-0.1163112812101303,0.1961484721462767,17.234508097985074,10.384862298168086,12.09560715625221,12.822080074713268,False,2,True,"[20, 22]",False,False,9,False,8,0,,,,1.0742648897399336,0.6344711469671261,,0.032837853350457205,-0.47426829280802213,1,4,0.043,5.069757852519182,8.457471437903164,"[14.665057627118642, 11.603471186440677]",6.0,0.7091768715863888,"[0.9035335659968633, -0.4285173218400766]","[[17.234508097985074, 10.384862298168086], [12.09560715625221, 12.822080074713268]]",0.07426488973993361,0.02958000253623531,False
5,1,347,936,117,87,78,63,13.88251296829971,10.591262247838616,2.468050913153289,422,0.9777853426934934,21.019374919894773,1,0.3707264957264957,0.40517802719165,6.900607504272286,42.485291572496,5.0,2.3042965721022703,2.23606797749979,10.514796785343329,1.4464276397504716,-0.4467513051226018,103.7401153701776,0.8222748815165877,13.88251296829971,10.591262247838616,0,0.0,8.990848619306707,2,1.0,43.51245085190039,0.0,0,1,1,0.8584477476918605,0.6605953773088017,,3.0062467931475205,1,5,0.2855546489558401,4.0,1,0.5770717649539563,-0.3215189428551355,16.994188102655716,9.100600032500989,10.770837833943705,12.081924463176243,False,1,True,"[10, 12]",False,False,6,False,5,0,8.914681045738222,1.1043536892115093,,1.0408049497007188,0.320476583347859,0.5892382595174995,0.04717374419916948,-0.4790545770280533,1,5,0.034,5.357198740961799,6.900607504272286,"[13.88251296829971, 10.591262247838616]",7.5,0.7232138198752358,"[0.9018554185061282, -0.4320379660529112]","[[16.994188102655716, 9.100600032500989], [10.770837833943705, 12.081924463176243]]",0.04080494970071887,0.052743825811900034,False
5,2,308,756,121,91,85,70,14.738025974025975,11.563012987012987,2.042476802873945,351,0.9730530847130244,19.80297401347661,1,0.4074074074074074,0.4896016437459225,6.04985424336713,38.07886552931954,5.0,2.3628784634572293,2.23606797749979,9.355792135620344,1.394982710780621,-0.44798678414425025,88.91168824543142,0.8774928774928775,14.738025974025975,11.563012987012987,0,0.0,8.990848619306707,1,1.0,47.76978417266187,0.0,0,2,2,0.8627004145181508,0.5794033269191143,,1.3437710988167515,2,5,0.6419995304838716,4.0,2,0.506724631300898,-0.2809597182478427,17.464456180680198,10.252760179444833,12.011595767371752,12.873265794581142,False,2,True,"[20, 22]",False,False,9,False,8,0,,,,1.0636995031135028,0.2942496031616663,,0.08343407907635543,-0.48057449054456075,1,5,0.043,5.069757852519182,8.457471437903164,"[14.738025974025975, 11.563012987012987]",7.5,0.6974913553903105,"[0.9013209564985454, -0.43315185948642443]","[[17.464456180680198, 10.252760179444833], [12.011595767371752, 12.873265794581142]]",0.06369950311350281,0.036403902651688816,False
