ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_Expanded,Neighbors_FirstClosestDistance_Expanded,Neighbors_FirstClosestObjectNumber_Expanded,Neighbors_NumberOfNeighbors_Expanded,Neighbors_PercentTouching_Expanded,Neighbors_SecondClosestDistance_Expanded,Neighbors_SecondClosestObjectNumber_Expanded,Number_Object_Number,Parent_RunOmnipose,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
6,1,186,299,124,74,101,61,111.72043010752688,66.56451612903226,1.3837082467737354,199,0.9195710022411767,15.389040103942165,1,0.6220735785953178,0.7226957000015051,24.68478749800644,23.08679276123039,5.0,2.337256030754033,2.118033988749895,9.036580869689208,9.699242366444915,-69.56623340238576,56.87005768508881,0.9346733668341709,111.72043010752688,66.56451612903226,0,38.740603168437225,13.826376523205665,2,2.0,64.61538461538461,24.11208800333456,3,1,1,15.997373537089581,16.83224222965511,nan,19.838489022802634,1,6,0.8063806431377903,5.0,1,15.314090049889998,-6.985916147624806
6,2,366,924,127,90,85,68,105.49453551912568,78.90983606557377,2.3289950046442285,408,0.9814338799776422,21.587164551489145,1,0.3961038961038961,0.4293697487568281,50.244894288540614,45.18849411078001,5.0,2.383540145812749,2.23606797749979,9.239650102715933,9.637009918627559,-65.63706061170319,103.49747468305831,0.8970588235294118,105.49453551912568,78.90983606557377,0,108.26731852071933,13.826376523205665,1,2.0,50.21520803443329,15.890024506925817,3,2,2,4.296867506917476,3.439969805504646,nan,4.783740904321398,2,6,0.8982232927865921,5.0,2,3.1471329217230846,-1.3888652331275324
6,3,208,414,102,87,79,69,89.77884615384616,76.5625,1.7232020489381366,245,0.934266776331685,16.273715780512877,1,0.5024154589371981,0.5803150017238056,28.2368191349361,25.80697580112788,5.0,2.2400139242764374,2.0,10.11841652340802,10.068538240512865,-60.651552356647564,67.11269837220809,0.8489795918367347,89.77884615384616,76.5625,0,32.992078310843446,15.890024506925817,2,2.0,47.36842105263158,24.11208800333456,1,3,3,8.117996866887683,7.279850782453407,nan,10.286097575600927,1,6,0.7892202856546808,5.0,1,-6.627493903790722,3.0120677233429376
7,1,194,312,125,74,101,61,111.83505154639175,66.60309278350516,1.3934492219158607,205,0.9269970419792251,15.716503163191918,1,0.6217948717948718,0.717643660258459,25.747949749488512,24.351591323771842,5.0,2.3567073224162085,2.23606797749979,9.099071570675541,9.657248476461513,-69.9278235187475,58.2842712474619,0.9463414634146341,111.83505154639175,66.60309278350516,0,36.73494725946696,14.470562717469821,2,2.0,65.89958158995816,25.235809821944713,3,1,1,16.08685335738189,0.12093896195095989,nan,19.959427984753592,1,7,0.805977674794596,6.0,1,0.11462143886487297,0.03857665447290515
7,2,396,1081,129,91,82,68,104.71717171717172,79.20202020202021,2.546414133240161,449,0.9841743224533147,22.45446191105733,1,0.36632747456059206,0.3927090990213596,54.45832237559247,49.040799340956916,5.0,2.3813480639748716,2.23606797749979,9.313368001395187,9.65017807142707,-66.54126005792436,112.5685424949238,0.8819599109131403,104.71717171717172,79.20202020202021,0,110.86651593600355,14.470562717469821,1,2.0,47.44121715076072,16.153345843782265,3,2,2,3.4698683481413752,0.8304613477936558,nan,5.614202252115054,2,7,0.6180518963017697,6.0,2,-0.7773638019539533,0.29218413644643704
7,3,216,450,102,87,77,69,88.74537037037037,76.78703703703704,1.6714001552171585,252,0.9428125382106102,16.583719174624104,1,0.48,0.5983007700930085,29.420260724720794,26.92582403567252,5.0,2.272034449985764,2.0,9.391485505499118,9.806462604877646,-62.504129834994856,67.35533905932738,0.8571428571428571,88.74537037037037,76.78703703703704,0,32.39853680452949,16.153345843782265,2,2.0,49.797570850202426,25.235809821944713,1,3,3,9.149439457325686,1.057586439035731,nan,11.343684014636658,1,7,0.8065668477295598,6.0,3,-1.0334757834757937,0.2245370370370381
8,1,205,350,126,74,101,60,113.17560975609756,66.38536585365854,1.505889307758935,222,0.9350595924885304,16.15593100600236,1,0.5857142857142857,0.6640594330855568,27.24819175302633,25.632011235952593,5.0,2.34788415646791,2.23606797749979,9.060143867320857,9.659226806019694,-69.07260804816804,62.2842712474619,0.9234234234234234,113.17560975609756,66.38536585365854,0,35.353062039870416,15.068709279618325,2,2.0,66.45161290322581,24.4577719679815,3,1,1,17.406087133299476,1.3581241952008904,nan,21.317552179954482,1,8,0.8165143439717684,7.0,1,1.3405582097058044,-0.21772692984662
8,2,425,1250,131,92,81,67,105.22117647058823,79.18352941176471,2.7064103383875553,485,0.9863765120388311,23.26213245840639,1,0.34,0.36949312002546786,58.732440540994205,52.20153254455275,5.0,2.380586488642893,2.23606797749979,9.384615384615385,9.66168756715369,-66.53204477247189,120.22539674441617,0.8762886597938144,105.22117647058823,79.18352941176471,0,109.0228627557912,14.969072034440343,3,2.0,42.125,15.068709279618325,1,2,2,3.9349291062219947,0.5043438319150038,nan,6.118546084030058,2,8,0.6431150557960992,7.0,2,0.5040047534165097,-0.01849079025549827
8,3,182,322,102,83,79,69,90.62637362637362,75.85714285714286,1.4262120683077149,196,0.9229957783986203,15.222667215103916,1,0.5652173913043478,0.7011579990250393,24.618443610733298,23.40939982143925,5.0,2.310401190199149,2.118033988749895,8.94427190999916,9.47342510781709,-67.31677959769509,57.11269837220809,0.9285714285714286,90.62637362637362,75.85714285714286,0,35.6240752043384,14.969072034440343,2,2.0,58.19070904645477,24.4577719679815,1,3,3,7.05285413980475,2.098303227585543,nan,13.4419872422222,1,8,0.524688352452177,7.0,3,1.881003256003254,-0.9298941798941769
9,1,217,405,128,74,101,59,114.09677419354838,65.84331797235023,1.5945682524707214,235,0.944427086543479,16.622063085174787,1,0.5358024691358024,0.6271290040112983,29.195603134580786,27.51363298439521,4.47213595499958,2.323996666896986,2.23606797749979,8.797531001601412,9.5972070747362,-69.02300974722478,65.94112549695429,0.9234042553191489,114.09677419354838,65.84331797235023,0,99.72599611902379,8.554068619295531,2,3.0,67.84869976359339,25.77123997035298,3,1,1,18.46498411560407,1.0688123438915376,nan,22.38636452384602,1,9,0.824831745053339,8.0,1,0.9211644374508268,-0.5420478813083065
