Process Type,Total number of samples,Number of continuity links,Number of division links,TN,FP,FN,TP,Accuracy,Specificity,Sensitivity
Training on all data,8565,7697,868,834,34,147,7550,0.9788674839462931,0.9608294930875576,0.9809016499935039
Training on train split,6852,6158,694,664,30,123,6035,0.9776707530647986,0.9567723342939481,0.9800259824618383
Evaluation on test split,1713,1539,174,171,3,27,1512,0.9824868651488616,0.9827586206896551,0.9824561403508771
