Process Type,Total number of samples,Number of highly likely correct links,Number of highly likely incorrect links,TN,FP,FN,TP,Accuracy,Specificity,Sensitivity
Training on all data,811,431,380,376,4,2,429,0.9926017262638718,0.9894736842105263,0.9953596287703016
Training on train split,648,344,304,301,3,2,342,0.9922839506172839,0.9901315789473685,0.9941860465116279
Evaluation on test split,163,87,76,75,1,0,87,0.9938650306748467,0.9868421052631579,1.0
