Process Type,Total number of samples,Number of highly likely correct links,Number of highly likely incorrect links,TN,FP,FN,TP,Accuracy,Specificity,Sensitivity
Training on all data,52689,8134,44555,44484,71,40,8094,0.9978932984114331,0.9984064639209965,0.9950823702975166
Training on train split,42151,6507,35644,35581,63,35,6472,0.9976750255035468,0.9982325216025137,0.9946211771937913
Evaluation on test split,10538,1627,8911,8899,12,8,1619,0.9981021066616056,0.9986533497923914,0.9950829748002459
