First Image Number,First Object Number,Second Image Number,Second Object Number
9,1,9,2
9,2,9,1
10,1,10,2
10,2,10,1
11,1,11,2
11,2,11,1
12,1,12,2
12,2,12,1
13,1,13,2
13,2,13,1
14,1,14,2
14,2,14,1
15,1,15,2
15,2,15,1
16,1,16,2
16,1,16,3
16,2,16,1
16,2,16,3
16,3,16,1
16,3,16,2
17,1,17,2
17,1,17,3
17,2,17,1
17,2,17,3
17,3,17,1
17,3,17,2
18,1,18,2
18,1,18,3
18,2,18,1
18,2,18,3
18,3,18,1
18,3,18,2
19,1,19,2
19,1,19,3
19,2,19,1
19,2,19,3
19,3,19,1
19,3,19,2
20,1,20,2
20,1,20,3
20,2,20,1
20,2,20,3
20,3,20,1
20,3,20,2
21,1,21,2
21,1,21,3
21,2,21,1
21,2,21,3
21,2,21,4
21,3,21,1
21,3,21,2
21,3,21,4
21,4,21,2
21,4,21,3
22,1,22,2
22,1,22,3
22,2,22,1
22,2,22,3
22,2,22,4
22,3,22,1
22,3,22,2
22,3,22,4
22,4,22,2
22,4,22,3
23,1,23,2
23,1,23,3
23,2,23,1
23,2,23,3
23,2,23,4
23,3,23,1
23,3,23,2
23,3,23,4
23,4,23,2
23,4,23,3
24,1,24,2
24,1,24,3
24,2,24,1
24,2,24,4
24,3,24,1
24,3,24,4
24,4,24,2
24,4,24,3
25,1,25,2
25,1,25,3
25,1,25,4
25,2,25,1
25,2,25,3
25,3,25,1
25,3,25,2
25,3,25,4
25,4,25,1
25,4,25,3
26,1,26,2
26,1,26,3
26,1,26,4
26,2,26,1
26,2,26,3
26,2,26,5
26,3,26,1
26,3,26,2
26,3,26,4
26,3,26,5
26,4,26,1
26,4,26,3
26,4,26,5
26,4,26,6
26,5,26,2
26,5,26,3
26,5,26,4
26,5,26,6
26,6,26,4
26,6,26,5
27,1,27,2
27,1,27,3
27,1,27,4
27,2,27,1
27,2,27,3
27,2,27,5
27,3,27,1
27,3,27,2
27,3,27,4
27,3,27,5
27,4,27,1
27,4,27,3
27,4,27,5
27,4,27,6
27,5,27,2
27,5,27,3
27,5,27,4
27,5,27,6
27,6,27,4
27,6,27,5
28,1,28,2
28,1,28,3
28,1,28,4
28,2,28,1
28,2,28,3
28,2,28,5
28,3,28,1
28,3,28,2
28,3,28,4
28,3,28,5
28,4,28,1
28,4,28,3
28,4,28,5
28,4,28,6
28,5,28,2
28,5,28,3
28,5,28,4
28,5,28,6
28,6,28,4
28,6,28,5
29,1,29,2
29,1,29,3
29,1,29,4
29,2,29,1
29,2,29,3
29,2,29,5
29,3,29,1
29,3,29,2
29,3,29,4
29,3,29,5
29,4,29,1
29,4,29,3
29,4,29,5
29,4,29,6
29,5,29,2
29,5,29,3
29,5,29,4
29,5,29,6
29,6,29,4
29,6,29,5
30,1,30,2
30,1,30,3
30,1,30,5
30,2,30,1
30,2,30,3
30,2,30,4
30,3,30,1
30,3,30,2
30,3,30,4
30,3,30,5
30,3,30,6
30,4,30,2
30,4,30,3
30,4,30,6
30,5,30,1
30,5,30,3
30,5,30,6
30,5,30,7
30,6,30,3
30,6,30,4
30,6,30,5
30,6,30,7
30,7,30,5
30,7,30,6
31,1,31,2
31,1,31,3
31,1,31,5
31,2,31,1
31,2,31,3
31,2,31,4
31,3,31,1
31,3,31,2
31,3,31,4
31,3,31,5
31,3,31,6
31,4,31,2
31,4,31,3
31,4,31,6
31,4,31,8
31,5,31,1
31,5,31,3
31,5,31,6
31,5,31,7
31,6,31,3
31,6,31,4
31,6,31,5
31,6,31,7
31,6,31,8
31,7,31,5
31,7,31,6
31,7,31,8
31,8,31,4
31,8,31,6
31,8,31,7
32,1,32,2
32,1,32,3
32,1,32,5
32,2,32,1
32,2,32,3
32,2,32,4
32,3,32,1
32,3,32,2
32,3,32,4
32,3,32,5
32,3,32,6
32,4,32,2
32,4,32,3
32,4,32,6
32,4,32,8
32,5,32,1
32,5,32,3
32,5,32,6
32,5,32,7
32,6,32,3
32,6,32,4
32,6,32,5
32,6,32,7
32,6,32,8
32,7,32,5
32,7,32,6
32,7,32,8
32,8,32,4
32,8,32,6
32,8,32,7
33,1,33,2
33,1,33,3
33,1,33,4
33,2,33,1
33,2,33,3
33,2,33,5
33,3,33,1
33,3,33,2
33,3,33,4
33,3,33,5
33,3,33,6
33,4,33,1
33,4,33,3
33,4,33,6
33,4,33,7
33,5,33,2
33,5,33,3
33,5,33,6
33,5,33,8
33,6,33,3
33,6,33,4
33,6,33,5
33,6,33,7
33,6,33,8
33,7,33,4
33,7,33,6
33,7,33,8
33,8,33,5
33,8,33,6
33,8,33,7
34,1,34,2
34,1,34,3
34,1,34,4
34,2,34,1
34,2,34,3
34,2,34,5
34,3,34,1
34,3,34,2
34,3,34,4
34,3,34,5
34,3,34,6
34,4,34,1
34,4,34,3
34,4,34,6
34,4,34,7
34,5,34,2
34,5,34,3
34,5,34,6
34,5,34,8
34,6,34,3
34,6,34,4
34,6,34,5
34,6,34,7
34,6,34,8
34,7,34,4
34,7,34,6
34,7,34,8
34,8,34,5
34,8,34,6
34,8,34,7
35,1,35,2
35,1,35,3
35,1,35,4
35,2,35,1
35,2,35,3
35,2,35,5
35,3,35,1
35,3,35,2
35,3,35,4
35,3,35,5
35,3,35,6
35,4,35,1
35,4,35,3
