TimeStep,NumberOfCells
1,90
2,90
3,93
4,93
5,97
6,99
7,100
8,107
9,115
10,124
11,130
12,142
13,153
14,158
15,176
16,180
17,187
18,200
19,208
20,218
21,244
22,260
23,271
24,283
25,290
26,314
27,329
28,349
29,375
30,404
31,427
32,458
33,464
34,497
35,512
36,544
37,551
38,623
39,656
40,697
41,726
42,744
43,772
44,795
45,821
46,842
47,864
48,883
49,906
50,922
51,947
52,978
53,986
54,1015
55,1049
56,1073
57,1105
58,1139
59,1144
60,1172
61,1186
62,1208
63,1218
64,1199
65,1225
66,1259
67,1267
68,1272
69,1278
70,1293
71,1321
