ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_MajorAxisLength,AreaShape_MinorAxisLength,AreaShape_Orientation,Children_transconjugants_Count,Intensity_MeanIntensity_gfp_channel_14bit,Intensity_MeanIntensity_rfp_channel_14bit,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_6,Number_Object_Number,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50
295,1,65,371.738461538462,5.53846153846154,12.9059232716385,6.73079886657731,86.249503428658,0,0.0178882690433126,0.000822578657131929,371.738461538462,5.53846153846154,0,65.2183833173095,1,nan,1,0,0
295,2,90,90.5111111111111,10.1666666666667,13.8182512809784,8.29381031615925,4.12787783835973,0,0,0.0128467402317458,90.5111111111111,10.1666666666667,0,28.9925872651465,2,6251,3,0,0
295,3,177,266.779661016949,16.4180790960452,28.0377092872708,8.11829094658745,-8.91445907257666,0,0.0155400639915534,0.00194039584616315,266.779661016949,16.4180790960452,0,48.0050066617407,3,6160,8,0,0
295,4,233,124.047210300429,17.5450643776824,30.5355746114791,10.0055678372721,33.5425225395515,0,0,0.0495293446748553,124.047210300429,17.5450643776824,0,46.5941503466852,4,6200,6,0,0
295,5,283,45.4840989399293,21.2791519434629,36.0957541237482,10.0444816796918,-20.3295567164013,0,0,0.109201756691027,45.4840989399293,21.2791519434629,0,38.6261559518892,5,4599,47,0,0
295,6,147,355.87074829932,13.7755102040816,26.7565760520143,7.26316100894157,57.7913692599373,0,0.0235130113049024,0.000718731072028073,355.87074829932,13.7755102040816,0,112.915590572601,6,5251,29,0,0
295,7,257,418.774319066148,18.4708171206226,33.6293059533893,9.92226594257592,39.5831994510674,0,0.000929078500326505,0.0959104937048274,418.774319066148,18.4708171206226,0,27.1650496698641,7,1055,183,0,0
295,8,141,372.049645390071,12.2553191489362,22.6347192425024,7.97548248620332,87.71969754014,0,0.0429520908716723,0.00065667904147231,372.049645390071,12.2553191489362,0,92.7152817565309,8,5251,29,0,0
295,9,297,468.713804713805,25.6329966329966,39.3580715001494,9.74637224266348,41.8260010694328,0,0,0.0311549156402498,468.713804713805,25.6329966329966,0,7.05029319555603,9,164,295,0,0
295,10,127,353.700787401575,20.6377952755906,20.4008465465205,7.95597606642418,62.6079528195957,0,0.0326072086660763,0.000751176416345938,353.700787401575,20.6377952755906,0,47.8994633676548,10,6201,6,0,0
295,11,382,227.138743455497,37.6439790575916,49.2887003035534,10.1090934817506,-22.2259439993222,0,0.000404883366253676,0.109719717845867,227.138743455497,37.6439790575916,0,43.2065211728022,11,5080,34,0,0
295,12,170,376.976470588235,30.3352941176471,29.4807651236399,7.47350960769203,9.35803039261654,0,0.0234342676368268,0.000661343960639308,376.976470588235,30.3352941176471,0,137.478060724896,12,5251,29,0,0
295,13,80,285.7875,26.6,18.8084151507842,5.54626176047912,-14.2298074331303,0,0.0301510647172108,0.000821698328945786,285.7875,26.6,0,79.8288096214106,13,6212,5,0,0
295,14,292,53.9760273972603,35.3116438356164,36.4399334983122,10.4261732138209,-10.9510504416975,0,0,0.0494026515556321,53.9760273972603,35.3116438356164,0,106.47607049168,14,583,225,0,0
295,15,157,170.866242038217,26.5477707006369,22.860420822205,8.78378171619933,-66.9545105050874,0,0,0.0903932798392833,170.866242038217,26.5477707006369,0,41.8943479231403,15,772,209,0,0
295,16,860,199.474418604651,56.0290697674419,73.3959312965904,16.8404074853055,-26.6968901195633,0,2.27111023525859E-06,0.138210613925963,199.474418604651,56.0290697674419,0,66.1799464187945,16,3482,78,0,0
295,17,348,458.109195402299,37.3735632183908,36.8625983873723,12.1754881498165,29.5884472204479,0,0.000147679269356632,0.0434757599596405,458.109195402299,37.3735632183908,0,162.930608077585,17,1055,183,0,0
295,18,156,405.089743589744,33.6474358974359,23.5705490193322,8.47038550658034,16.9122130401758,0,0.0120534537216792,0.000883458241915856,405.089743589744,33.6474358974359,0,96.2059524858163,18,5881,17,0,0
295,19,156,120.205128205128,36.3461538461538,22.3941050010027,8.91646812038653,5.8179536249722,0,0,0.0843147042517861,120.205128205128,36.3461538461538,0,166.644532604607,19,583,225,0,0
295,20,119,414.109243697479,36.0336134453782,19.8691764132169,8.40358549978697,23.5323357656022,0,0.0056230136811608,0.00179774358774684,414.109243697479,36.0336134453782,0,90.0570112677105,20,5881,17,0,0
295,21,414,143.652173913043,45.4975845410628,48.824067871165,11.4239423768896,-41.101555110118,0,0,0.0417613634290759,143.652173913043,45.4975845410628,0,78.4377265800908,21,583,225,0,0
295,22,111,273.198198198198,42.5135135135135,22.3504939528495,6.61724578465523,-3.20137512026052,0,0.0163186306452697,0.000803366882374158,273.198198198198,42.5135135135135,0,106.692917307784,22,2944,92,0,0
295,23,209,166.77990430622,43.8947368421053,28.339793454895,9.47418635634472,-18.9165946962088,0,0,0.0681002121151349,166.77990430622,43.8947368421053,0,107.219720339328,23,772,209,0,0
295,24,1464,194.349726775956,113.042349726776,224.325419540886,18.2870334581001,-40.4101949980808,0,0.00040995071659913,0.0710386270396361,194.349726775956,113.042349726776,0,146.647102414147,24,583,225,0,0
295,25,251,448.525896414343,43.0956175298805,29.7585479064118,10.8650221146271,21.4257516451798,0,0.000806600408279801,0.0588322231226946,448.525896414343,43.0956175298805,0,177.357604337722,25,1055,183,0,0
295,26,66,371.984848484849,40.0151515151515,16.4907532929663,5.44274445634868,3.96863535444478,0,0.0320365480570631,0.000922014838028135,371.984848484849,40.0151515151515,0,116.433150698036,26,5251,29,0,0
295,27,217,41.9216589861751,48.5391705069124,34.1241371881963,8.36336418520308,-19.321267744614,0,0,0.122652158759157,41.9216589861751,48.5391705069124,0,145.173759787385,27,583,225,0,0
295,28,398,110.751256281407,60.1733668341709,49.5009407532881,10.5394717587547,-10.2633518472366,0,0,0.0291050127309621,110.751256281407,60.1733668341709,0,129.830203869807,28,583,225,0,0
295,29,519,149.97302504817,68.2485549132948,70.4286309237657,9.71950191299151,-15.6428527570003,0,0,0.0629634876755247,149.97302504817,68.2485549132948,0,50.1368196147995,29,772,209,0,0
295,30,248,325.366935483871,56.6088709677419,41.4716560560133,7.87091988066061,-20.2458717326499,0,0.0566178628604018,0.000940152639222722,325.366935483871,56.6088709677419,0,28.8332187677475,30,4870,39,0,0
295,31,174,398.097701149425,51.8390804597701,29.2664991270474,7.83796623304082,-10.6486574794718,0,0.0241720449318574,0.000576335010814598,398.097701149425,51.8390804597701,0,123.37750683092,31,5251,29,0,0
295,32,58,235.51724137931,46.4655172413793,13.3910363708025,6.09984326363676,-32.1162591818943,0,0.0021362630810974,0.00411151714044912,235.51724137931,46.4655172413793,0,111.653259858399,32,3330,81,0,0
295,33,404,362.601485148515,81.5940594059406,79.878709819957,7.5725029366936,-0.245588207360509,0,0.0310416855402106,0.000866893738840181,362.601485148515,81.5940594059406,0,147.20643581245,33,5883,17,0,0
295,34,119,317.09243697479,54.4453781512605,21.8991552878175,7.00111824447105,-8.58933606671763,0,0.0142942416411238,0.000749871933034488,317.09243697479,54.4453781512605,0,129.450832747465,34,6292,1,0,0
295,35,225,299.275555555556,62.5911111111111,35.4872507724301,8.17479779776902,-10.8586901474513,0,0.0253945393901732,0.000927748531103134,299.275555555556,62.5911111111111,0,162.419568373245,35,6272,2,0,0
295,36,211,385.165876777251,57.9668246445498,29.6719112645208,9.10556421940286,29.3700818161848,0,0.0329875469349007,0.000744871684831183,385.165876777251,57.9668246445498,0,107.864284455515,36,5251,29,0,0
295,37,243,120.991769547325,61.2962962962963,32.3601741390371,9.66463405772397,-11.3945723332121,0,0,0.0447469879853934,120.991769547325,61.2962962962963,0,81.9363463475419,37,583,225,0,0
295,38,327,426.825688073394,57.4495412844037,50.9776109127863,8.48299398297247,66.8397092145094,0,0.0393091073140092,0.000720113840535146,426.825688073394,57.4495412844037,0,115.209920461908,38,5881,17,0,0
295,39,161,308.062111801242,60.9813664596273,23.8558489482068,8.62029294600947,-18.8858605301018,0,0.0445119889615023,0.000793090032309479,308.062111801242,60.9813664596273,0,154.485417730271,39,4870,39,0,0
295,40,130,286.069230769231,60.9230769230769,21.5839901442493,7.7214990104088,-13.5789840964364,0,0.0313988419679495,0.000672335980030207,286.069230769231,60.9230769230769,0,66.9555451099096,40,5946,14,0,0
295,41,192,227.286458333333,64.2604166666667,32.8570504566813,7.5674455277111,-36.1159037728424,0,0.000576028076466173,0.0887474258391497,227.286458333333,64.2604166666667,0,25.1402189687988,41,3330,81,0,0
295,42,47,410.170212765958,59.1702127659574,10.6830467450865,6.0078558629741,34.251382045839,0,0.00648151304414298,0.000375307006563278,410.170212765958,59.1702127659574,0,122.726987756869,42,5881,17,0,0
295,43,173,526.06936416185,60.7225433526012,25.4989811161894,8.75925103298738,80.9001498724426,0,3.52809754754767E-07,0.0339907504499734,526.06936416185,60.7225433526012,0,14.4148935236217,43,4502,49,0,0
295,44,217,472.082949308756,62.4884792626728,29.1185407272349,9.62802335385985,78.2185219835465,0,0.000390968487216031,0.053181840420147,472.082949308756,62.4884792626728,0,58.8853729133606,44,164,295,0,0
295,45,1177,138.924384027188,115.706032285472,141.193253158468,13.4657289149513,-28.3570027905878,0,0,0.0612081506486568,138.924384027188,115.706032285472,0,89.5639036288841,45,3330,81,0,0
295,46,371,201.948787061995,75.256064690027,51.2199717439058,9.46807523017683,-40.152316841345,0,3.12583736894587E-06,0.122917303469062,201.948787061995,75.256064690027,0,174.077019644763,46,3482,78,0,0
295,47,313,387.456869009585,75.3929712460064,45.8795369879626,9.44356486609662,36.8383198462273,0,0.0175846336831967,0.000863670389325664,387.456869009585,75.3929712460064,0,110.070371891376,47,5251,29,0,0
295,48,173,410.398843930636,68.150289017341,27.5697773534947,8.10948642906972,44.8068635506784,0,0.0206079708864492,0.000869323235715745,410.398843930636,68.150289017341,0,146.078934382408,48,5624,22,0,0
295,49,177,433.372881355932,68.2994350282486,27.5207670013589,8.2878385109365,61.8365139534874,0,0.0215540153663711,0.000582773943489554,433.372881355932,68.2994350282486,0,131.66330230519,49,5881,17,0,0
295,50,227,555.925110132159,70.1894273127753,35.8334468116421,8.50114071208797,-63.9671504402184,0,1.61328865830594E-06,0.0631193814077107,555.925110132159,70.1894273127753,0,71.2886025981687,50,4,295,0,0
