stepNum,id,label,divideFlag,cellAge,growthRate,LifeHistory,startVol,targetVol,parent_id,pos,time,radius,length,ends,dir,cellType,strainRate,strainRate_rolling
1,1,626.0,False,1,-0.058,3,7.131894531995421,4.250604829207487,0,"[75.16204511278195, 2.3104962406015037]",3,0.6307964931305579,7.131894531995421,"[[72.0040373586591, 0.6543057537382027], [78.3200528669048, 3.966686727464805]]","[-0.8856013615891979, -0.46444615226241115]",2,0.0,0.0
1,2,627.0,True,1,0.032,3,5.604700846856438,7.495964558960088,0,"[86.61434101382488, 17.30986175115207]",3,0.5275980224546624,5.604700846856438,"[[84.22288689500137, 15.849000671771035], [89.0057951326484, 18.770722830533106]]","[-0.8533744027265396, -0.5212985025598306]",2,0.0,0.0
1,3,628.0,True,1,0.037,5,4.862043876121924,8.416774880305464,0,"[90.60464921465967, 20.131350785340313]",3,0.5279627559167492,4.862043876121924,"[[88.47658286486148, 18.95610558786438], [92.73271556445786, 21.306595982816248]]","[-0.8753793277141667, -0.48343668935103956]",2,0.0,0.0
1,4,629.0,True,1,0.022,6,4.03449278575491,5.942362770949515,0,"[130.5686459627329, 28.389465838509313]",3,0.547402261539094,4.03449278575491,"[[129.14228094903333, 26.963013646085383], [131.99501097643244, 29.815918030933243]]","[-0.7070851725083205, -0.707128389204449]",1,0.0,0.0
1,5,630.0,True,1,0.032,21,2.081356432209703,15.90540589467607,0,"[31.876173913043473, 28.476521739130433]",3,0.43830006279121364,2.081356432209703,"[[30.870486527725525, 28.208932440974618], [32.88186129836142, 28.74411103728625]]","[-0.9663768970605833, -0.2571297198449816]",1,0.0,0.0
1,6,631.0,False,1,,1,4.121525772415601,4.121525772415601,0,"[103.20129729729729, 39.25362162162162]",3,0.5002267005631801,4.121525772415601,"[[102.51281939097247, 37.3112669048734], [103.88977520362211, 41.19597633836984]]","[-0.3340888517221673, -0.9425415848412014]",2,0.0,0.0
1,7,632.0,True,1,,1,3.9438639114285583,3.9438639114285583,0,"[105.22346666666665, 40.84693333333333]",3,0.46680446278640264,3.9438639114285583,"[[104.34241204556277, 39.08277393220239], [106.10452128777054, 42.61109273446427]]","[-0.44679767907343587, -0.8946350283632936]",2,0.0,0.0
1,8,8.0,True,1,-0.001,27,4.314509536712625,4.048340646639587,0,"[159.74850828729282, 44.80548066298342]",3,0.5669868265917498,4.314509536712625,"[[161.7858911573051, 44.096383224984535], [157.71112541728056, 45.514578100982305]]","[0.9444331285750872, -0.32870361368544887]",2,0.0,0.0
1,9,633.0,False,1,0.014,6,3.097659408879087,3.9872790201917385,0,"[96.11291803278688, 44.40275409836065]",3,0.5277153814343433,3.097659408879087,"[[94.87554847071073, 43.47120161985944], [97.35028759486303, 45.33430657686186]]","[-0.7989061408942343, -0.6014557157775474]",1,0.0,0.0
1,10,10.0,True,1,0.025,2,5.668509176223167,6.5706908922801,0,"[132.48983414634145, 46.80842926829268]",3,0.5082344424645778,5.668509176223167,"[[130.30480184112528, 45.00326088407105], [134.67486645155762, 48.61359765251431]]","[-0.7709372031649462, -0.6369111623893952]",2,0.0,0.0
