First Image Number,First Object Number,Second Image Number,Second Object Number
1,1,1,2
1,1,1,7
1,1,1,19
1,2,1,1
1,2,1,3
1,2,1,4
1,2,1,7
1,3,1,2
1,3,1,4
1,3,1,6
1,3,1,7
1,3,1,9
1,3,1,19
1,4,1,2
1,4,1,3
1,4,1,6
1,5,1,8
1,5,1,24
1,5,1,28
1,5,1,36
1,5,1,39
1,6,1,3
1,6,1,4
1,6,1,9
1,7,1,1
1,7,1,2
1,7,1,3
1,7,1,19
1,8,1,5
1,8,1,10
1,8,1,11
1,8,1,12
1,8,1,20
1,8,1,22
1,8,1,24
1,9,1,3
1,9,1,6
1,9,1,15
1,9,1,17
1,9,1,18
1,9,1,19
1,10,1,8
1,10,1,11
1,10,1,24
1,11,1,8
1,11,1,10
1,11,1,22
1,11,1,24
1,12,1,8
1,12,1,13
1,12,1,14
1,12,1,15
1,12,1,20
1,13,1,12
1,13,1,14
1,13,1,16
1,13,1,20
1,14,1,12
1,14,1,13
1,14,1,15
1,14,1,16
1,14,1,26
1,14,1,41
1,14,1,45
1,14,1,48
1,15,1,9
1,15,1,12
1,15,1,14
1,15,1,17
1,15,1,26
1,16,1,13
1,16,1,14
1,16,1,20
1,16,1,41
1,17,1,9
1,17,1,15
1,17,1,18
1,17,1,26
1,17,1,27
1,18,1,9
1,18,1,17
1,18,1,19
1,18,1,23
1,18,1,27
1,18,1,29
1,19,1,1
1,19,1,3
1,19,1,7
1,19,1,9
1,19,1,18
1,19,1,21
1,19,1,29
1,19,1,37
1,20,1,8
1,20,1,12
1,20,1,13
1,20,1,16
1,20,1,22
1,20,1,25
1,20,1,41
1,20,1,44
1,20,1,47
1,21,1,19
1,21,1,37
1,22,1,8
1,22,1,11
1,22,1,20
1,22,1,24
1,22,1,25
1,22,1,34
1,23,1,18
1,23,1,27
1,23,1,29
1,23,1,30
1,23,1,31
1,23,1,32
1,24,1,5
1,24,1,8
1,24,1,10
1,24,1,11
1,24,1,22
1,24,1,28
1,24,1,34
1,24,1,58
1,25,1,20
1,25,1,22
1,25,1,34
1,25,1,44
1,26,1,14
1,26,1,15
1,26,1,17
1,26,1,27
1,26,1,40
1,26,1,42
1,26,1,48
1,27,1,17
1,27,1,18
1,27,1,23
1,27,1,26
1,27,1,30
1,27,1,40
1,28,1,5
1,28,1,24
1,28,1,36
1,28,1,58
1,29,1,18
1,29,1,19
1,29,1,23
1,29,1,31
1,29,1,33
1,29,1,37
1,29,1,38
1,29,1,43
1,30,1,23
1,30,1,27
1,30,1,32
1,30,1,40
1,31,1,23
1,31,1,29
1,31,1,32
1,31,1,33
1,31,1,35
1,32,1,23
1,32,1,30
1,32,1,31
1,32,1,35
1,32,1,40
1,32,1,43
1,32,1,55
1,33,1,29
1,33,1,31
1,33,1,35
1,33,1,43
1,34,1,22
1,34,1,24
1,34,1,25
1,34,1,44
1,34,1,46
1,34,1,58
1,35,1,31
1,35,1,32
1,35,1,33
1,35,1,43
1,36,1,5
1,36,1,28
1,36,1,39
1,37,1,19
1,37,1,21
1,37,1,29
1,37,1,38
1,37,1,59
1,38,1,29
1,38,1,37
1,38,1,43
1,38,1,59
1,39,1,5
1,39,1,36
1,39,1,53
1,40,1,26
1,40,1,27
1,40,1,30
1,40,1,32
1,40,1,42
1,40,1,55
1,41,1,14
1,41,1,16
1,41,1,20
1,41,1,45
1,41,1,47
1,41,1,49
1,41,1,50
1,42,1,26
1,42,1,40
1,42,1,48
1,42,1,55
1,42,1,56
1,43,1,29
1,43,1,32
1,43,1,33
1,43,1,35
1,43,1,38
1,43,1,55
1,43,1,57
1,43,1,59
1,44,1,20
1,44,1,25
1,44,1,34
1,44,1,46
1,44,1,47
1,45,1,14
1,45,1,41
1,45,1,48
1,45,1,50
1,45,1,51
1,46,1,34
1,46,1,44
1,46,1,47
1,46,1,49
1,46,1,58
1,46,1,62
1,47,1,20
1,47,1,41
1,47,1,44
1,47,1,46
1,47,1,49
1,48,1,14
1,48,1,26
1,48,1,42
1,48,1,45
1,48,1,51
1,48,1,56
1,49,1,41
1,49,1,46
1,49,1,47
1,49,1,50
1,49,1,62
1,50,1,41
1,50,1,45
1,50,1,49
1,50,1,51
1,50,1,62
1,51,1,45
1,51,1,48
1,51,1,50
1,51,1,56
1,51,1,60
1,51,1,62
1,51,1,63
1,53,1,39
1,53,1,54
1,53,1,67
1,53,1,68
1,54,1,53
1,54,1,68
1,55,1,32
1,55,1,40
1,55,1,42
1,55,1,43
1,55,1,56
1,55,1,57
1,55,1,65
1,55,1,66
1,56,1,42
1,56,1,48
1,56,1,51
1,56,1,55
1,56,1,60
1,56,1,66
1,56,1,72
1,56,1,73
1,56,1,89
1,57,1,43
1,57,1,55
1,57,1,59
1,57,1,61
1,57,1,65
1,57,1,71
1,58,1,24
1,58,1,28
1,58,1,34
1,58,1,46
1,58,1,62
1,58,1,77
1,58,1,92
1,58,1,99
1,58,1,100
1,58,1,102
1,59,1,37
1,59,1,38
1,59,1,43
1,59,1,57
1,59,1,61
1,59,1,75
1,59,1,78
1,60,1,51
1,60,1,56
1,60,1,63
1,60,1,64
1,60,1,72
1,61,1,57
1,61,1,59
1,61,1,71
1,61,1,75
1,62,1,46
1,62,1,49
1,62,1,50
1,62,1,51
1,62,1,58
1,62,1,63
1,62,1,69
1,62,1,74
1,62,1,92
1,63,1,51
1,63,1,60
1,63,1,62
1,63,1,64
1,63,1,69
1,63,1,88
1,64,1,60
1,64,1,63
1,64,1,72
1,64,1,88
1,65,1,55
1,65,1,57
1,65,1,66
1,65,1,70
1,65,1,71
1,66,1,55
1,66,1,56
1,66,1,65
1,66,1,70
1,66,1,82
1,66,1,89
1,67,1,53
1,67,1,68
1,67,1,76
1,67,1,77
1,68,1,53
1,68,1,54
1,68,1,67
1,68,1,76
1,68,1,85
1,69,1,62
1,69,1,63
1,69,1,74
1,69,1,88
1,70,1,65
1,70,1,66
1,70,1,71
1,70,1,82
1,70,1,83
1,71,1,57
1,71,1,61
1,71,1,65
1,71,1,70
1,71,1,75
1,71,1,80
1,71,1,83
1,72,1,56
1,72,1,60
1,72,1,64
1,72,1,73
1,72,1,79
1,72,1,88
1,72,1,90
1,73,1,56
1,73,1,72
1,73,1,79
1,73,1,89
1,73,1,93
1,73,1,94
1,74,1,62
1,74,1,69
1,74,1,88
1,74,1,92
1,75,1,59
1,75,1,61
1,75,1,71
1,75,1,78
1,75,1,80
1,76,1,67
1,76,1,68
1,76,1,77
1,76,1,85
1,77,1,58
1,77,1,67
1,77,1,76
1,77,1,85
1,77,1,91
1,77,1,102
1,77,1,106
1,78,1,59
1,78,1,75
1,78,1,80
1,78,1,81
1,78,1,84
1,79,1,72
1,79,1,73
1,79,1,90
1,79,1,94
1,79,1,98
1,80,1,71
1,80,1,75
1,80,1,78
1,80,1,81
1,80,1,83
1,80,1,87
1,81,1,78
1,81,1,80
1,81,1,84
1,81,1,87
1,82,1,66
1,82,1,70
1,82,1,83
1,82,1,86
1,82,1,89
1,83,1,70
1,83,1,71
1,83,1,80
1,83,1,82
1,83,1,86
1,83,1,87
1,83,1,122
1,84,1,78
1,84,1,81
1,84,1,87
1,84,1,125
1,84,1,132
1,85,1,68
1,85,1,76
1,85,1,77
1,85,1,91
1,85,1,119
1,86,1,82
1,86,1,83
1,86,1,89
1,86,1,96
1,86,1,120
1,86,1,122
1,87,1,80
1,87,1,81
1,87,1,83
1,87,1,84
1,87,1,122
1,87,1,125
1,88,1,63
1,88,1,64
1,88,1,69
1,88,1,72
1,88,1,74
1,88,1,90
1,88,1,92
1,88,1,95
1,89,1,56
1,89,1,66
1,89,1,73
1,89,1,82
1,89,1,86
1,89,1,93
1,89,1,96
1,90,1,72
1,90,1,79
1,90,1,88
1,90,1,95
1,90,1,98
1,90,1,101
1,90,1,103
1,91,1,77
1,91,1,85
1,91,1,106
1,91,1,117
1,91,1,119
1,92,1,58
1,92,1,62
1,92,1,74
1,92,1,88
1,92,1,95
1,92,1,99
1,92,1,104
1,92,1,107
1,92,1,111
1,92,1,114
1,93,1,73
1,93,1,89
1,93,1,94
1,93,1,96
1,93,1,97
1,94,1,73
1,94,1,79
1,94,1,93
1,94,1,97
1,94,1,98
1,95,1,88
1,95,1,90
1,95,1,92
1,95,1,103
1,95,1,110
1,95,1,111
1,96,1,86
1,96,1,89
1,96,1,93
1,96,1,97
1,96,1,101
1,96,1,120
1,97,1,93
1,97,1,94
1,97,1,96
1,97,1,98
1,97,1,101
1,98,1,79
1,98,1,90
1,98,1,94
1,98,1,97
1,98,1,101
1,99,1,58
1,99,1,92
1,99,1,100
1,99,1,104
1,99,1,105
1,100,1,58
1,100,1,99
1,100,1,102
1,100,1,105
1,100,1,121
1,100,1,123
1,101,1,90
1,101,1,96
1,101,1,97
1,101,1,98
1,101,1,103
1,101,1,109
1,101,1,118
1,101,1,120
1,101,1,124
1,102,1,58
1,102,1,77
1,102,1,100
1,102,1,106
1,102,1,112
1,102,1,113
1,102,1,123
1,103,1,90
1,103,1,95
1,103,1,101
1,103,1,109
1,103,1,110
1,104,1,92
1,104,1,99
1,104,1,105
1,104,1,107
1,105,1,99
1,105,1,100
1,105,1,104
1,105,1,107
1,105,1,108
1,105,1,121
1,106,1,77
1,106,1,91
1,106,1,102
1,106,1,113
1,106,1,117
1,106,1,129
1,106,1,134
1,107,1,92
1,107,1,104
1,107,1,105
1,107,1,108
1,107,1,114
1,108,1,105
1,108,1,107
1,108,1,114
1,108,1,121
1,109,1,101
1,109,1,103
1,109,1,110
1,109,1,118
1,110,1,95
1,110,1,103
1,110,1,109
1,110,1,111
1,110,1,118
1,110,1,142
1,111,1,92
1,111,1,95
1,111,1,110
1,111,1,114
1,111,1,142
1,111,1,146
1,111,1,167
1,112,1,102
1,112,1,113
1,112,1,115
1,112,1,116
1,112,1,123
1,113,1,102
1,113,1,106
1,113,1,112
1,113,1,116
1,113,1,129
1,114,1,92
1,114,1,107
1,114,1,108
1,114,1,111
1,114,1,121
1,114,1,145
1,114,1,150
1,114,1,167
1,115,1,112
