CellId,label,birth_length,AverageLength,AverageVelocity,LifeHistory,GrowthRate,AverageOrientation
1.0,,6.722189820737271,7.013683643531837,0.0,3.0,0.019,-2.9101247092397906
2.0,1.0,4.016276695402465,5.71489511049612,0.02,15.0,0.023,-0.3977175943598233
3.0,1.0,3.9115933135591994,5.532694151518474,0.008,15.0,0.023,-0.42643621849791113
4.0,1.0,3.9003049433567627,5.378324684566628,0.001,14.0,0.023,-2.257008655053594
5.0,1.0,3.832006365685587,5.263863039873876,-0.001,16.0,0.018,-0.6722267570311786
6.0,1.0,3.8024350301376706,5.3864021569812675,0.001,17.0,0.02,-2.3115561568398277
7.0,1.0,3.600893101444885,4.892915670537146,0.006,18.0,0.015,-0.3492760507248209
8.0,1.0,3.8592786246652087,5.642000735609965,0.001,16.0,0.021,-2.81216928555711
9.0,1.0,3.482559070224215,5.251760018449389,0.009,16.0,0.025,-1.5533239957196319
10.0,1.0,3.41823000409907,5.098372688378523,0.005,17.0,0.019,-2.7653708827443606
11.0,1.0,3.879063421163565,4.618356069273341,0.004,10.0,0.014,-0.5077415677001992
12.0,1.0,3.392473648607499,5.1521630122027675,-0.01,16.0,0.024,-2.906567859415776
13,1.0,3.805893087099785,,,1,NaN,-2.2722628542495067
14.0,1.0,6.803240074356589,6.936893967714603,0.014,2.0,0.013,-0.5540385014310205
15.0,1.0,3.930668063157167,5.351054917276513,0.003,13.0,0.024,-0.6344906638939396
16.0,1.0,3.63503274700758,5.057517721703173,0.004,16.0,0.021,-0.7166137716162277
17.0,1.0,3.9152236433178365,4.422842535109346,-0.004,6.0,0.017,-0.4579790958100205
18.0,1.0,5.781905582206958,7.08151090129069,-0.0,10.0,0.028,-2.9646987768565074
19.0,1.0,5.061397881414761,5.948990344485396,-0.002,7.0,0.027,-2.9318095117790066
20.0,1.0,3.3422757634114295,4.73173888628024,-0.006,17.0,0.019,-2.7058469355489163
21.0,1.0,3.8591396990156155,5.471074444132063,-0.0,14.0,0.025,-0.9849859803540854
22.0,1.0,3.619519080548786,5.2962271461103985,0.006,14.0,0.028,-1.1974060382501552
23.0,1.0,4.08915790851015,5.361720385660898,0.014,12.0,0.024,-1.0591457479716386
24.0,1.0,3.544718076082659,5.644934067858335,0.016,16.0,0.031,-0.9558093187269809
25.0,1.0,3.897776865440808,5.739207659271155,-0.004,17.0,0.022,-2.7072039670156967
26.0,1.0,3.6205965896600305,5.245658851672257,0.003,16.0,0.023,-2.4849806595297066
27.0,1.0,3.6473625361674022,5.218335687647298,0.006,14.0,0.025,-0.6895170448923243
