Module,Module Number,Relationship,First Object Name,First Image Number,First Object Number,Second Object Name,Second Image Number,Second Object Number
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,28,FilterObjects,305,8
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,28,FilterObjects,305,35
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,28,FilterObjects,305,43
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,29,FilterObjects,305,26
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,29,FilterObjects,305,46
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,30,FilterObjects,305,14
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,30,FilterObjects,305,20
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,30,FilterObjects,305,37
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,30,FilterObjects,305,53
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,31,FilterObjects,305,10
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,31,FilterObjects,305,12
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,31,FilterObjects,305,32
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,31,FilterObjects,305,44
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,32,FilterObjects,305,12
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,32,FilterObjects,305,24
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,32,FilterObjects,305,31
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,33,FilterObjects,305,17
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,33,FilterObjects,305,19
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,33,FilterObjects,305,27
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,33,FilterObjects,305,68
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,34,FilterObjects,305,5
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,34,FilterObjects,305,15
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,34,FilterObjects,305,66
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,34,FilterObjects,305,93
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,35,FilterObjects,305,8
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,35,FilterObjects,305,28
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,35,FilterObjects,305,43
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,35,FilterObjects,305,55
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,36,FilterObjects,305,23
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,36,FilterObjects,305,45
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,36,FilterObjects,305,50
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,37,FilterObjects,305,20
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,37,FilterObjects,305,30
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,37,FilterObjects,305,44
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,37,FilterObjects,305,47
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,37,FilterObjects,305,53
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,37,FilterObjects,305,64
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,37,FilterObjects,305,81
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,38,FilterObjects,305,16
MeasureObjectNeighbors,18,Neighbors,FilterObjects,305,38,FilterObjects,305,42
