TimeStep,NumberOfCells
1,51
2,51
3,52
4,57
5,62
6,58
7,64
8,64
9,69
10,71
11,74
12,78
13,79
14,78
15,89
16,92
17,97
18,110
19,104
20,107
21,116
22,122
23,134
24,137
25,145
26,151
27,164
28,174
29,185
30,196
31,205
32,220
33,231
34,235
35,251
36,277
37,280
38,298
39,308
40,327
