CellId,label,birth_length,AverageLength,AverageVelocity,LifeHistory,GrowthRate,AverageOrientation
1.0,,20.767951779444058,20.631472040751987,0.015,2.0,-0.027,-0.04575724489972374
2.0,,61.5041475633577,76.12415523394756,-0.432,5.0,0.995,-3.1371008168543613
3,,7.756016551821991,,,1,NaN,-1.4583803864215212
4.0,,1.2048558281132737,1.3914256269425256,-0.005,3.0,0.02,-0.27468435557183557
5,,3.4663159545313666,,,1,NaN,-1.5760294797622505
6.0,,4.211302204170822,4.71150880892237,-0.0,5.0,-0.013,-1.5621293367966134
7.0,,1.817895168501029,1.7973681226412084,-0.002,16.0,-0.0,-1.5625341395500505
8.0,,56.97316385230293,56.82044606639444,-0.012,9.0,-0.009,-1.56338675067645
9.0,,3.767055936661532,4.636931950677394,0.008,7.0,0.06,-1.8827434495552045
10.0,,3.5418700341607203,4.263525102156607,-0.005,6.0,0.052,-2.1772010513736846
11.0,,3.9078708929239845,4.568362575460303,0.006,6.0,0.05,-2.381942404018282
12.0,,2.6180310159938265,3.778808441802749,-0.003,11.0,0.051,-1.2834967258539314
13.0,,4.329902759507161,4.56441572890851,0.005,3.0,0.035,-2.426626298137237
14.0,,2.03288712277355,2.0770341636266765,-0.004,40.0,-0.001,-2.3574936074769743
15.0,,2.530391860304787,3.7089996453690164,0.004,11.0,0.052,-1.8762104441692038
16.0,,4.44590052683417,5.802747984606816,0.009,15.0,0.048,-2.565553392481141
17.0,,2.0637247987907177,2.0346113228467724,-0.004,40.0,-0.0,-2.2791075336277506
18.0,,2.6333637960124827,3.5597535441283346,-0.004,13.0,0.032,-0.9208004594376361
19.0,,2.8613963835151166,4.439642556796282,-0.005,14.0,0.054,-1.663965608607303
20.0,,3.5557853368941976,3.977938213251408,0.004,6.0,0.033,-2.6657062719918363
21,,5.0465957217621575,,,1,NaN,-1.5148994593306342
22.0,,2.449842213892125,4.056300954419525,0.011,14.0,0.058,-2.8705903707694125
23.0,,3.8096001949648426,4.0831085008398285,0.002,3.0,0.036,-1.9424472241553208
24.0,,2.4496163785231175,3.0518868183170773,0.004,10.0,0.029,-0.5544030497530008
25.0,,2.4815170671134736,2.905587342885715,0.01,11.0,0.02,-2.5374594025308443
26.0,,4.238566649875665,4.469392890857979,0.002,3.0,0.033,-1.4994123454377484
27.0,,3.3870143361031837,3.7077077399086007,-0.005,5.0,0.032,-1.7674204664533448
28.0,,2.762251897925218,2.9190323077251734,-0.006,3.0,0.021,-1.1447402139562362
29.0,,2.5040670258721835,3.0457733022148865,0.007,10.0,0.027,-2.4195534184678467
30.0,,3.5224576856553598,3.6194430472401136,0.015,40.0,0.001,-1.813703555742218
31.0,,5.717300683928487,5.999312776050226,0.061,3.0,0.033,-1.843690928943391
32.0,,2.8279292551077577,2.7740163208527697,0.026,40.0,-0.001,-2.1547424660065735
33.0,,3.052439355299328,3.2922563956326947,0.022,4.0,0.031,-2.3510890339157853
34.0,,2.814777027134167,4.20822215985497,0.024,11.0,0.059,-2.3471343772929596
35.0,,3.8026992481590223,3.921104598715778,-0.002,2.0,0.024,-2.362815832853172
36.0,,3.4776576169150513,4.155737427865276,0.017,7.0,0.045,-1.1239403570005189
37.0,,3.15175973201282,3.6975527490584303,0.03,7.0,0.033,-0.638222562433671
38.0,,3.643111238963495,3.578290245825921,-0.004,40.0,-0.0,-2.2544870033013695
39.0,,4.128222951672957,4.014516032420549,0.042,31.0,-0.002,-1.7414538016522396
40.0,,2.9036971265726894,5.6132669475104136,0.009,17.0,0.084,-1.8721392746097427
41.0,,3.4389578233955946,4.213851744373485,0.001,8.0,0.047,-0.8802662234691169
42.0,,2.628881207460886,2.5504628072601223,-0.005,39.0,-0.0,-0.2725165507127071
43.0,,2.5059037054759634,2.85272817501104,0.006,15.0,0.013,-2.2335247958390094
44.0,,4.044611424430116,4.336529407127421,-0.012,4.0,0.033,-2.972197120046752
45,,6.657442792157937,,,1,NaN,-1.5884787017482551
46.0,,3.127272133970799,3.2216450780500425,-0.002,7.0,0.006,-0.47353324575513905
47.0,,5.3431885576278955,5.566613552027549,0.004,2.0,0.045,-0.325615365174703
48.0,,3.468799752233923,4.59529828226428,0.006,5.0,0.09,-2.7229156255894194
49,,1.6742811329606486,,,1,NaN,-0.35976597483393563
50,,1.7794046360349614,,,1,NaN,-2.768142954159381
51.0,,2.6145324727446644,4.271678120638294,0.009,25.0,0.09,-0.41842726755485854
52,3.0,3.0339094982881902,,,1,NaN,-1.490666375446303
53.0,3.0,3.1515677353426574,7.771039351967137,-0.175,3.0,0.407,-1.4213658320065121
54.0,21.0,2.6963323568859554,3.8935218337857087,0.007,10.0,0.057,-1.1796416286813536
55.0,21.0,2.5340199330744717,4.343646401980582,0.013,12.0,0.07,-1.717312830745538
56,45.0,3.3687392102470968,,,1,NaN,-1.555452910637359
57.0,45.0,3.224270599811964,5.104729540128665,-0.135,2.0,0.376,-1.598806458817133
58.0,35.0,2.1823890843382023,2.9948035904392682,0.005,12.0,0.033,-2.4199483789012692
59.0,35.0,1.9374539054122937,2.7099516259830803,0.02,12.0,0.03,-2.4191999259841324
60.0,47.0,3.370253387652034,5.350737629093101,-0.005,12.0,0.078,-1.1178723340903651
61.0,47.0,2.9703291569383445,3.202705210731375,-0.006,3.0,0.035,-0.17871734031766676
62.0,,1.8834247852027637,2.060512356140673,0.008,3.0,0.025,-2.7785200780925643
63,,2.245456959723154,,,1,NaN,-3.083383742750939
64.0,13.0,2.4218830916392853,3.0982306368233146,-0.006,12.0,0.011,-2.3695632356101908
65.0,13.0,2.585206222154325,3.3718010823763427,0.059,13.0,0.012,-2.3993460383791247
66.0,23.0,2.29507852338827,4.183448773459849,0.004,16.0,0.064,-1.6801771369030285
67.0,23.0,2.355150740570379,3.8811086629767146,0.011,14.0,0.052,-1.4974584913054636
68.0,26.0,2.5940144674476824,3.735691448087051,0.003,11.0,0.047,-1.4945910812065306
69.0,26.0,2.38882464419169,4.305373482650164,0.012,15.0,0.064,-2.1661635977947653
