Process Type,Total number of samples,Number of continuity links,Number of division links,TN,FP,FN,TP,Accuracy,Specificity,Sensitivity
Training on all data,43095,38843,4252,4120,132,575,38268,0.9835943844993619,0.9689557855126999,0.9851968179594779
Training on train split,34476,31074,3402,3295,107,471,30603,0.9832347140039448,0.9685479129923574,0.984842633713072
Evaluation on test split,8619,7769,850,825,25,94,7675,0.9861932938856016,0.9705882352941176,0.9879006307118033
