Process Type,Total number of samples,Number of highly likely correct links,Number of highly likely incorrect links,TN,FP,FN,TP,Accuracy,Specificity,Sensitivity
Training on all data,274263,40997,233266,233128,138,185,40812,0.9988222983049118,0.9994084007099191,0.9954874746932703
Training on train split,219410,32798,186612,186493,119,149,32649,0.998778542454765,0.99936231324888,0.9954570400634185
Evaluation on test split,54853,8199,46654,46633,21,37,8162,0.998942628479755,0.9995498778239807,0.9954872545432369
