ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,AreaShape_MajorAxisLength,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,id,parent_id,NoiseObject,UnexpectedEnd_by_CellProfiler,UnexpectedEnd_by_Trackrefiner,UnexpectedBeginning_by_CellProfiler,UnexpectedBeginning_by_Trackrefiner,TrackingLinkModified
36,6,38.97468493150684,37.514958904109584,3.805893087099785,35.0,3,13,6,False,True,False,False,False,False
37,7,36.33320179372197,38.498367713004484,3.930668063157167,0.0,0,14,0,False,False,False,False,True,True
45,8,33.2838947368421,38.09368421052631,5.061397881414761,44.0,8,16,7,False,False,False,False,False,True
68,30,36.918064981949456,42.83818050541516,4.836780697074643,67.0,26,44,21,False,True,False,False,False,False
69,30,32.78638914027149,41.642714932126694,3.670541830476766,0.0,0,63,0,False,False,False,False,True,True
102,73,24.466251256281407,41.31714572864321,3.706818748723239,101.0,72,188,113,False,False,False,False,False,True
102,75,27.08168609865471,41.816179372197304,3.9945422284917855,101.0,73,168,91,False,False,False,False,False,True
102,76,23.196725581395345,42.017190697674415,3.9889012459503372,101.0,75,198,93,False,False,False,False,False,True
109,101,31.452307692307688,42.84984615384615,4.2798186856133045,108.0,96,224,87,False,False,False,False,False,True
109,117,33.67254545454545,46.90036363636363,5.1064955873341855,108.0,114,203,116,False,False,False,False,False,True
109,118,36.528175182481746,47.89418978102189,4.919839058954838,108.0,115,204,118,False,False,False,False,False,True
109,126,39.09317647058824,49.88470588235294,5.530922293609935,108.0,120,230,102,False,False,False,False,False,True
109,130,37.66068837209302,51.40096744186046,8.349965507867958,108.0,127,158,76,False,False,False,False,False,True
112,77,20.74052356020942,35.279246073298424,3.6887609338924356,111.0,74,295,151,False,False,False,False,False,True
113,116,21.097548387096772,44.299741935483866,7.251016439331327,112.0,111,189,113,False,False,True,False,False,False
114,125,21.68094674556213,43.23237869822485,6.346264706759943,113.0,115,245,129,False,False,False,False,False,True
114,139,17.60743949044586,45.56545222929936,5.176910988251112,0.0,0,349,0,False,False,False,False,True,True
114,155,33.12608450704225,48.34424788732394,6.728677028889638,113.0,138,203,116,False,False,False,False,False,True
114,158,29.34127058823529,49.06164705882353,3.2415979561993837,113.0,140,353,156,False,False,False,False,False,True
114,159,32.654287625418064,49.521070234113715,5.572301119933747,113.0,143,205,118,False,False,False,False,False,True
114,168,29.599648351648348,52.05626373626373,5.416391842994338,113.0,152,262,159,False,False,False,False,False,True
115,99,49.49428037383177,37.57525233644859,4.167712487265548,114.0,98,297,150,False,False,False,False,False,True
115,110,50.62372881355932,38.814101694915266,3.3443981182713363,0.0,0,360,0,False,False,False,False,True,True
116,123,33.20651383399209,40.9910513833992,4.889944980534651,115.0,120,289,163,False,False,False,False,False,True
116,141,30.20608,42.887679999999996,3.8983772716127127,115.0,131,344,166,False,False,False,False,False,True
116,152,19.023192660550457,45.67508256880733,4.101672868401429,115.0,128,385,202,False,False,False,False,False,True
116,177,28.63152,50.055839999999996,3.6825188416964934,115.0,166,353,156,False,False,False,False,False,True
118,197,27.989018181818185,51.169090909090905,4.086056637798326,117.0,190,353,156,False,False,False,False,False,True
118,209,29.259536050156733,54.601278996865204,6.613015180973101,117.0,201,262,159,False,False,False,False,False,True
120,211,32.94706849315069,51.58093150684931,4.308333528924258,119.0,205,425,203,False,False,False,False,False,True
120,219,30.86129577464789,53.761352112676065,3.9199910727722,119.0,211,440,231,False,False,False,False,False,True
121,162,18.273659751037343,43.63498755186722,4.716720279717544,120.0,159,437,245,False,False,True,False,False,False
121,164,15.649085972850678,43.65741176470588,4.097988675023219,120.0,158,400,257,False,False,False,False,False,True
122,131,15.822439024390242,39.19609756097561,4.978442382013094,0.0,0,477,0,False,False,False,False,True,True
122,160,19.02516923076923,42.859384615384606,4.727203146416583,121.0,158,383,168,False,True,False,False,False,True
122,164,14.941054393305436,43.503665271966526,4.348506552403894,121.0,164,400,257,False,False,False,False,False,True
122,173,15.876,45.57008219178081,5.303196623765485,121.0,172,385,202,False,True,False,False,False,False
122,204,28.543135135135138,49.39088803088803,4.747042140259105,121.0,198,405,227,False,False,False,False,False,True
122,212,28.17307984790874,50.742752851711025,5.28666689996174,121.0,206,424,203,False,False,False,False,False,True
122,238,37.08321259842519,56.84825196850393,7.462154510874806,121.0,231,281,158,False,False,False,False,False,True
122,241,33.824666666666666,57.702666666666666,4.440433553317704,0.0,0,487,0,False,False,False,False,True,True
123,118,13.01543661971831,36.434704225352114,4.1738437385673395,122.0,120,464,256,False,False,False,False,False,True
123,135,15.167999999999996,38.827,5.138489117213586,122.0,141,466,256,False,False,False,False,False,True
123,143,13.654336633663364,39.82669306930693,3.5216965568741303,0.0,0,498,0,False,False,False,False,True,True
123,150,48.630026905829595,40.17793721973094,4.259904230049041,122.0,144,465,186,False,False,True,False,False,False
123,167,12.707681415929203,42.92410619469027,3.670898931457704,0.0,0,501,0,False,False,False,False,True,True
123,219,40.270199999999996,50.83859999999999,4.794951993145208,122.0,211,388,201,False,True,False,False,False,False
123,222,35.74091119691119,51.496401544401536,5.116658975477539,122.0,213,408,200,False,True,False,False,False,False
123,233,31.847152941176468,52.679717647058816,4.9691926818330385,122.0,225,425,203,False,True,False,False,False,False
