First Image Number,First Object Number,Second Image Number,Second Object Number
4,1,4,2
4,2,4,1
5,1,5,2
5,2,5,1
6,1,6,2
6,2,6,1
7,1,7,2
7,2,7,1
8,1,8,2
8,2,8,1
9,1,9,2
9,2,9,1
10,1,10,2
10,2,10,1
11,1,11,2
11,2,11,1
12,1,12,2
12,2,12,1
13,1,13,2
13,2,13,1
14,1,14,2
14,2,14,1
15,1,15,2
15,2,15,1
16,1,16,2
16,2,16,1
17,1,17,2
17,2,17,1
18,1,18,2
18,2,18,1
19,1,19,2
19,1,19,3
19,2,19,1
19,2,19,3
19,2,19,4
19,3,19,1
19,3,19,2
19,3,19,4
19,4,19,2
19,4,19,3
20,1,20,2
20,1,20,3
20,2,20,1
20,2,20,3
20,2,20,4
20,3,20,1
20,3,20,2
20,3,20,4
20,4,20,2
20,4,20,3
21,1,21,2
21,1,21,3
21,2,21,1
21,2,21,3
21,2,21,4
21,3,21,1
21,3,21,2
21,3,21,4
21,4,21,2
21,4,21,3
22,1,22,2
22,1,22,3
22,2,22,1
22,2,22,3
22,2,22,4
22,3,22,1
22,3,22,2
22,3,22,4
22,4,22,2
22,4,22,3
23,1,23,2
23,1,23,3
23,2,23,1
23,2,23,3
23,2,23,4
23,3,23,1
23,3,23,2
23,3,23,4
23,4,23,2
23,4,23,3
24,1,24,2
24,1,24,3
24,2,24,1
24,2,24,3
24,2,24,4
24,3,24,1
24,3,24,2
24,3,24,4
24,4,24,2
24,4,24,3
25,1,25,2
25,1,25,3
25,2,25,1
25,2,25,3
25,2,25,4
25,3,25,1
25,3,25,2
25,3,25,4
25,4,25,2
25,4,25,3
26,1,26,2
26,1,26,3
26,2,26,1
26,2,26,3
26,2,26,4
26,3,26,1
26,3,26,2
26,3,26,4
26,4,26,2
26,4,26,3
27,1,27,2
27,1,27,3
27,2,27,1
27,2,27,3
27,2,27,4
27,3,27,1
27,3,27,2
27,3,27,4
27,4,27,2
27,4,27,3
28,1,28,2
28,1,28,3
28,2,28,1
28,2,28,3
28,2,28,4
28,3,28,1
28,3,28,2
28,3,28,4
28,4,28,2
28,4,28,3
29,1,29,2
29,1,29,3
29,2,29,1
29,2,29,3
29,2,29,4
29,3,29,1
29,3,29,2
29,3,29,4
29,4,29,2
29,4,29,3
30,1,30,2
30,1,30,3
30,2,30,1
30,2,30,3
30,2,30,4
30,3,30,1
30,3,30,2
30,3,30,4
30,4,30,2
30,4,30,3
31,1,31,2
31,1,31,3
31,2,31,1
31,2,31,3
31,2,31,4
31,3,31,1
