Process Type,Total number of samples,Number of highly likely correct links,Number of highly likely incorrect links,TN,FP,FN,TP,Accuracy,Specificity,Sensitivity
Training on all data,118937,18368,100569,100466,103,127,18241,0.9980662031159353,0.9989758275412901,0.9930858013937283
Training on train split,95149,14694,80455,80374,81,101,14593,0.9980872105855028,0.9989932260269716,0.9931264461685042
Evaluation on test split,23788,3674,20114,20093,21,27,3647,0.9979821758870019,0.9989559510788506,0.9926510615133369
