CellId,label,birth_length,AverageLength,AverageVelocity,LifeHistory,GrowthRate,AverageOrientation
1,,4.371822954365562,,,1,NaN,-3.085960819994142
2.0,,8.684473124016812,10.464030431715706,0.098,8.0,0.24,-2.891583149353919
3.0,,6.441654630921903,7.738690969540896,0.061,13.0,-0.053,-2.157327378601365
4.0,,7.7292911793200245,10.165053741252851,0.009,8.0,0.327,-2.547423238744741
5.0,,12.286998284030998,13.318450484531787,0.0,3.0,0.349,-2.0681719353841626
6.0,,8.610996880385233,10.227234518117166,0.099,6.0,0.288,-1.9799049412852916
7.0,,6.312238665798188,6.1865217032359325,0.271,7.0,0.058,-2.576721073339226
8.0,,6.5123013968065235,9.116061673766575,0.056,12.0,0.276,-1.9774152544963686
9.0,,6.592958563857457,8.83256461041306,0.074,10.0,0.257,-2.5487446791030046
10.0,,5.891716832555578,8.188924024619693,0.009,22.0,0.159,-2.2515351871524403
11.0,,6.636434920190251,5.90723538492788,0.068,6.0,-0.233,-0.0619514599627401
12.0,,8.613513973183531,10.744714480451616,0.178,7.0,0.347,-2.653373685059101
13.0,,6.474965668164107,8.578730675976376,0.185,10.0,0.183,-0.9605501091868305
14.0,,7.8070820846826425,7.344844922351934,-0.02,11.0,-0.045,-2.4024935568391657
15.0,,8.89571436247915,10.519997001805162,-0.102,7.0,0.229,-2.8607216227403383
16.0,,7.851891490155803,8.959733139510918,-0.086,7.0,0.143,-3.0076907438169527
17.0,,8.462712762417283,9.07805611768403,0.119,3.0,0.207,-2.282398348479982
18.0,,5.856394608058299,8.670732939831774,0.143,9.0,0.283,-0.9856071208632109
19.0,,8.30893067933472,11.456700818483684,0.114,20.0,0.159,-2.2713433193270305
20.0,,7.544555013766843,9.80290857210945,0.015,9.0,0.264,-1.0145773120298403
21.0,,9.72100127766169,11.180864326204286,0.03,5.0,0.289,-0.6195035375358777
22,,11.533472053199938,,,1,NaN,-2.351994588243694
23.0,,9.899903028050565,11.680399079696391,0.129,5.0,0.366,-0.26575512413329905
24.0,,10.182067940623575,10.910660105884338,0.038,3.0,0.241,-0.960195270322428
25.0,,1.685344957709432,1.6650979867483862,0.07,10.0,-0.012,-1.2316544348495873
26.0,,10.132524729132705,10.950725628468538,0.036,3.0,0.287,-2.6412005570472687
27.0,,7.741819484697489,6.361180650136022,0.017,10.0,-0.188,-2.7301586147853127
28.0,,7.064302883620767,8.727386116978145,0.094,9.0,0.201,-1.6268602946170725
29,,10.114227121487943,,,1,NaN,-1.9908679606828652
30.0,,7.046743389421206,9.280703975961712,0.038,10.0,0.239,-1.4217421028048434
31.0,,11.706359221612834,12.084217021418208,-0.022,2.0,0.189,-2.6978247526081094
32.0,,6.601133426565238,7.135006902655074,0.055,34.0,-0.009,-0.8050113339232003
33.0,,6.730421920970082,8.39811687071516,0.14,13.0,0.041,-2.5407547232796635
34.0,,14.399222970948198,15.01978742085633,0.004,2.0,0.31,-3.086148401351591
35.0,,7.81262985054091,10.630250059938914,0.141,10.0,0.297,-1.960289766415876
36.0,,8.021492191485976,9.765089227173748,-0.055,7.0,0.225,-1.9776483696983063
37.0,,6.513901093292629,7.823598642430802,0.146,10.0,0.17,-2.520391272007358
38.0,,6.373823741623146,8.58043406235622,-0.07,11.0,0.289,-2.2701043398029914
39.0,,7.311344733710475,9.012045487653483,0.144,8.0,0.218,-1.0707116601471165
40.0,,7.478933330615978,9.71539980668078,0.033,9.0,0.23,-1.0315650946829942
41.0,,11.353178045458606,12.256492167942959,0.108,3.0,0.303,-2.9844896004838084
42.0,,10.763824216368663,12.284869556373256,-0.03,4.0,0.392,-2.925915546108283
43.0,,5.338737845626941,6.931647275660162,0.141,12.0,0.171,-2.6259740797865576
44.0,,6.210742913443079,7.866285055362669,0.187,10.0,0.219,-2.5767414719695028
45.0,,5.247852480401412,7.214708325605456,-0.007,13.0,0.217,-2.3432330904481904
46.0,,11.740730323244044,12.550140835751343,-0.039,3.0,0.275,-1.790788215320975
47.0,,5.691645192553405,7.5705508623615065,-0.058,12.0,0.234,-2.4049126847733167
48.0,,5.12926878619997,7.5698072595041435,0.102,14.0,0.198,-2.0145135354706345
49.0,,6.55295554554194,8.54036276574155,0.181,9.0,0.228,-2.070435854776225
50.0,,5.341638613545922,5.267674208854357,0.073,13.0,-0.093,-2.018853301497656
51.0,,6.381755848259482,9.423899626237782,0.011,13.0,0.293,-1.8123368610629649
52,,12.446310820163367,,,1,NaN,-1.8432225451947482
53.0,,7.564858041605982,7.973430090694243,-0.006,9.0,-0.203,-1.539414565877256
54.0,,6.161982102912486,7.400358997747302,-0.07,13.0,-0.106,-2.477867953039806
55.0,,11.690985799632506,12.565912352831134,0.107,3.0,0.295,-2.50926016057863
56.0,,12.76419162492428,13.336832108281579,0.018,2.0,0.286,-3.003796055613079
57.0,,7.6185983859845265,9.826514282572699,0.009,10.0,0.247,-1.6376295754950276
58.0,,6.055017371417663,7.764530862578592,-0.061,11.0,0.183,-2.2241429228104166
59,,11.858865317042659,,,1,NaN,-3.130114411871758
60.0,,9.525609621840301,10.926827706521903,0.089,6.0,0.254,-3.099228850875988
61.0,,5.395654446833898,6.4689017495227805,0.124,10.0,0.126,-2.466790244910686
62.0,,5.480208779837165,6.182508120575825,-0.048,12.0,0.123,-2.3371683152348672
63.0,,5.623410710147198,5.447703723971706,0.017,8.0,-0.239,-2.176225391889179
64.0,,6.116346501567833,6.2288464499053635,0.054,10.0,-0.157,-2.2604278854781716
65.0,,10.258138567172075,11.27976860137331,0.095,4.0,0.282,-1.1585066717290755
66.0,,7.581596797196159,8.938363496682536,-0.019,6.0,0.267,-0.32843015813112747
67.0,,8.840321619700495,10.235204786913814,0.178,7.0,0.147,-2.5744268442910174
68.0,,6.410292230372516,8.628674968583399,0.189,11.0,0.229,-1.9600603051527026
69.0,,6.304285747989734,7.5371487706328155,0.14,7.0,0.19,-0.9362724172901722
70.0,,7.7415152567419305,9.763063173635103,0.08,9.0,0.215,-1.1077811684683467
71,,12.270762679808769,,,1,NaN,-2.251890364692062
72.0,,8.800582517221468,10.362449203180637,0.116,6.0,0.301,-2.1434452933625594
73.0,,8.406525840831344,10.069166439022567,-0.074,10.0,0.164,-2.4917380952751946
74.0,,5.976039661842711,6.562989626270655,0.041,11.0,-0.141,-2.7413889409862127
75.0,,6.643013034353127,7.671921582264379,0.07,9.0,0.106,-1.7394226088685472
76.0,,6.8673828028944435,8.42820571199013,0.075,8.0,0.246,-2.1587447500865773
77.0,,6.390960355635105,9.111074579399668,0.089,13.0,0.308,-1.9588533440648654
78.0,,7.050272992439837,8.18361950777923,-0.07,10.0,0.095,-1.8427428473035534
79.0,,5.7811795162149995,5.72260027709548,-0.08,9.0,0.065,-2.703973668245349
80.0,,8.571171514953,8.486975705624483,-0.007,6.0,0.005,-1.8217890174741107
81.0,,6.36012298437972,7.675146453155169,0.16,10.0,0.113,-2.081471479441376
82.0,,6.985506012608401,7.367494939923891,0.153,3.0,0.121,-2.1249016491865635
83.0,,10.719417065584741,12.294974228864366,0.131,5.0,0.329,-2.771897746351734
84.0,,9.403995550649748,11.34895855818658,0.0,6.0,0.362,-2.6968731759369042
85.0,,8.539742445021668,10.5155877115207,0.064,8.0,0.283,-0.40993993872237694
86.0,,8.687414019480794,10.192786169550931,0.097,7.0,0.278,-0.5350347126773977
87.0,,10.049816753746413,11.102363200724996,0.077,4.0,0.277,-2.011633036238648
88.0,,8.786137103539028,10.944875109086864,0.17,7.0,0.306,-1.982183939797434
89.0,,6.856392675036815,8.678415720378602,0.065,9.0,0.267,-0.6751885652079076
90.0,,9.365010676446104,10.474278945406233,-0.022,4.0,0.295,-1.930535182245346
91.0,,5.92555769920279,4.911231067078477,0.124,14.0,-0.042,-1.8878218919451253
92.0,,7.331877552141313,9.084601466119155,0.095,8.0,0.245,-0.6344225637954082
93.0,,6.605912314451511,8.10245305498453,0.203,8.0,0.211,-2.0227456270942157
