CellId,label,birth_length,AverageLength,AverageVelocity,LifeHistory,GrowthRate,AverageOrientation
1.0,,9.79860087216,9.875476912752001,0.003,20.0,0.099,-2.653528413559426
2.0,,8.27344516752,10.228265991899999,0.121,8.0,0.304,-0.41106201962262084
3.0,,8.486505372959998,10.52078578806857,-0.06,7.0,0.326,-0.35442971436501874
4,,12.754306771199998,,,1,NaN,-0.5216387059220611
5.0,,7.103942367839999,5.059185253134545,0.048,11.0,-0.194,-2.402834174809141
6.0,,8.706661090559999,9.385174616399999,0.093,4.0,0.215,-0.11995115239562726
7.0,,7.378790640479999,8.831538462240001,0.016,7.0,0.238,-0.5169481136605729
8.0,,13.43615551488,14.03380872864,0.006,2.0,0.299,-0.7815683304347971
9.0,,6.6575984111999995,9.289596653803635,0.07,11.0,0.228,-0.7146755955085093
10.0,,6.266071077119999,7.875705630763636,-0.041,11.0,0.198,-2.6784884810590643
11.0,,6.45050840688,7.84979872464,0.13,9.0,0.189,-2.9872069713234164
12.0,,9.06120671616,10.292690337408,0.001,5.0,0.284,-1.5915598639648265
13.0,,7.708697948159999,9.953704976800001,0.163,9.0,0.285,-2.465888189624981
14.0,,7.747942479839999,9.741481321139998,0.078,8.0,0.267,-0.5237375798011142
15.0,,7.99534532304,9.900854356937142,-0.067,7.0,0.3,-0.28570802118863103
16.0,,9.588779625599999,11.23994581464,0.156,6.0,0.299,-2.298939687112402
17.0,,7.47931709232,9.52899383072,-0.068,9.0,0.26,-2.2715989965573486
18.0,,9.984502173600001,12.1105630368,-0.069,7.0,0.336,-2.069731226339933
19.0,,10.463371848,12.639099460799997,0.044,6.0,0.379,-0.39740446309489563
20.0,,6.6726420508799995,8.501583267360001,-0.077,11.0,0.17,-0.28323481145007123
21.0,,6.58005357744,8.510706901007998,0.157,10.0,0.202,-0.18049183217131634
22.0,,9.22361658048,7.268685316393846,-0.013,13.0,-0.287,-2.61688450857677
23.0,,5.76725676048,6.9599964654,0.048,8.0,0.137,-0.7217598721090391
24.0,,7.67513009088,9.263864900365714,0.086,7.0,0.258,-1.635469882203178
25.0,,5.768816309279999,7.6341896724184615,0.08,13.0,0.146,-0.9449350434257683
26.0,,7.429214547359999,6.820139032416,0.036,10.0,-0.102,-0.4244093505080551
27.0,,8.184797674559999,9.6657047256,-0.007,6.0,0.278,-1.603783222631354
28.0,,6.4395868060799994,8.45348430336,-0.004,9.0,0.259,-0.20243429106359145
29.0,,6.326331184799999,8.932368035951999,0.139,10.0,0.311,-1.0588617395483315
30.0,,13.30270581312,13.823731734479999,0.042,2.0,0.261,-0.5538172051181325
31.0,,7.767007043039999,9.803127024959998,0.039,9.0,0.267,-0.6435421445623791
32.0,,7.35713702064,9.720601437992725,0.093,11.0,0.276,-0.7631673622029985
33.0,,1.9161305136,1.7450250429599998,0.023,2.0,-0.086,-0.7115732971342326
34.0,,6.539918291999999,8.600085196415998,0.063,10.0,0.223,-2.1707578685372706
35.0,,7.064303853599999,9.690956011112725,0.005,11.0,0.276,-2.8883260979654364
36.0,,9.137475066239999,9.814022017440001,0.006,3.0,0.221,-2.7846049021272887
37.0,,7.67333360592,6.42935024608,-0.036,9.0,-0.303,-1.6883564106133224
38.0,,13.7619153576,15.994849476959999,0.062,5.0,0.449,-1.3537981947918025
39.0,,6.734202585119999,8.593293167999999,0.039,8.0,0.226,-1.337378297187736
40.0,,7.5685728355199995,6.572074798534737,0.046,19.0,-0.017,-0.7758049302164182
41.0,,6.565909203359999,8.26256924226,0.089,8.0,0.251,-1.3472835346209822
42.0,,7.11447432048,8.770296116982857,-0.007,7.0,0.251,-0.29051080461070083
43.0,,7.454495484,10.012741951248,0.072,10.0,0.305,-0.12487804349299939
44.0,,7.43161270032,9.489697120479999,0.162,9.0,0.264,-0.6000242261383951
45,,10.879251223679999,,,1,NaN,-2.9678700692286313
46.0,,6.77272291632,8.968727988576,0.112,10.0,0.254,-1.2824673693325415
47.0,,9.748637130239999,10.79193219744,0.058,3.0,0.345,-0.8545441325596053
48.0,,6.426869934239999,8.484905767391998,0.071,10.0,0.238,-0.7174003381630359
49.0,,6.389370914399999,8.597143621584,0.058,10.0,0.251,-0.7382769826413064
50.0,,6.2140904812799995,8.47134862932,0.053,12.0,0.219,-0.9509156608133732
51.0,,6.67633747248,9.770685335113845,0.11,13.0,0.249,-0.5533311784816741
52.0,,7.841320351199999,10.50601677872,0.115,9.0,0.338,-2.7241306357948303
53.0,,7.75184087952,10.407157583839998,0.018,9.0,0.339,-2.7614354726790347
54.0,,10.02460426992,13.126800250363278,0.037,61.0,0.054,-0.7572866018424618
55.0,,10.2960307872,10.763707922639998,0.05,2.0,0.234,-0.4637004351940743
56.0,,2.56962700944,1.9388606913599997,0.022,3.0,-0.148,-1.8369209738965526
57,,3.3759653529599998,,,1,NaN,-2.6622665270689154
58.0,,2.37877320096,2.144820047184,0.089,6.0,-0.093,-2.344032944800084
59.0,,10.26945873072,11.530746003655384,0.105,13.0,0.002,-1.3977619304607865
60.0,,3.5125023916799996,2.5489674353375995,0.075,5.0,-0.08,-1.713038608813926
61,,1.3852248285599997,,,1,NaN,-0.1932759436054361
62.0,,3.07291461552,6.5041924906799995,-0.114,4.0,0.542,-2.834306228051591
63.0,,5.4129439152,7.25964119904,0.059,12.0,0.156,-0.7364359908545395
64.0,,5.4290030904,8.183334995177143,0.077,14.0,0.244,-0.48808484182205775
65.0,,6.316578819359999,7.856370742153844,0.071,13.0,0.143,-0.350332478973522
66.0,,4.67571506976,8.741495035814399,0.046,50.0,0.064,-1.577588255724167
67.0,,11.75139817776,12.31470570744,0.041,2.0,0.282,-1.3090345634074985
68.0,,6.749198431199999,6.744174878879999,0.035,2.0,-0.003,-2.84416880195847
69.0,,10.946731796639998,12.485630237759997,0.07,4.0,0.388,-0.9240539561105234
