TimeStep,NumberOfCells
1,90
2,90
3,93
4,93
5,97
6,99
7,100
8,107
9,115
10,123
11,130
12,142
13,153
14,158
15,176
16,180
17,186
18,200
19,207
20,218
21,244
22,260
23,271
24,283
25,290
26,314
27,329
28,349
29,374
30,403
31,426
32,458
33,464
34,497
35,511
36,544
37,551
38,623
39,656
40,697
41,726
42,743
43,772
44,794
45,821
46,840
47,863
48,882
49,905
50,921
51,946
52,975
53,985
54,1015
55,1049
56,1072
57,1104
58,1137
59,1144
60,1171
61,1185
62,1208
63,1217
64,1199
65,1225
66,1259
67,1267
68,1271
69,1277
70,1292
71,1319
