lable,first time step,last time step,birth Length,division threshold,elongation rate,average proximity
1,97,103,28.56069,34.15413761,0.326,499.79191752206634
1,97,99,31.22643666,33.29632562,0.345,620.774972792491
2,98,121,30.22258117,45.86032166,0.247,352.1578284569314
2,98,113,33.35816104,59.42895404,0.572,374.5173147430769
3,98,101,24.61952578,53.11432408,3.786,187.72910308605054
2,98,141,28.26227832,77.55395367,0.369,189.91383991718823
3,98,99,20.87193801,23.31319904,0.814,247.58551757577226
3,98,98,16.97944645,16.97944645,NaN,379.14957395161764
3,98,101,28.13862201,51.22570767,2.377,181.0397686968671
2,98,118,36.55783925,70.34839814,0.515,297.56667508904
2,99,122,19.43208965,43.95962953,0.335,274.4237692249158
2,99,121,20.51169524,39.23225435,0.266,252.1711890832205
2,100,105,45.31712016,53.86310522,0.564,280.4842923825052
2,100,100,16.0604508,16.0604508,NaN,282.2154131618042
1,100,121,34.08191638,43.45017359,-0.05,446.4788252001785
1,100,116,35.82964083,63.19678039,0.553,445.9981214160178
3,102,125,25.77664079,52.61709984,0.388,114.00110219284305
3,102,117,21.1416231,37.04460057,0.301,106.92760316500815
3,102,127,21.14384237,40.8758018,0.299,114.20375129852818
3,102,111,25.50956648,32.16601873,0.26,117.10525017046594
5,102,111,24.18856152,33.39973552,0.352,278.2482156788469
5,102,143,24.94736862,40.32695341,0.009,279.53914143288875
5,103,103,28.13412543,28.13412543,NaN,285.66148995892496
5,103,110,28.68112728,71.21350741,1.464,290.8633888061992
1,104,105,25.9175977,36.12824399,3.404,399.3121016931021
1,104,104,10.13667391,10.13667391,NaN,389.6672299200436
2,105,129,23.926525,44.1338758,0.275,231.76315972978836
2,105,122,22.91757765,42.50359763,0.376,293.89315976274077
2,106,121,27.25834024,47.1956789,0.438,383.77721690466404
2,106,111,23.03574285,29.01715474,0.404,343.89706985248114
1,106,107,18.18728449,2.309401077,-5.293,391.5579588076687
1,106,107,19.13958706,37.78919214,6.217,401.2905375321948
5,107,109,34.40124115,36.14178014,0.29,268.40684929903256
5,107,130,28.75668675,57.1910703,0.423,276.34805773231585
2,108,121,25.85659446,37.63561836,0.308,402.9271343496437
2,108,111,27.45057615,29.00067904,0.185,394.6336761384131
1,108,140,38.93115188,49.42473887,-0.047,275.8419775042692
1,108,108,2.309401077,2.309401077,NaN,391.3070765778156
5,111,133,31.8210079,68.31672694,0.57,284.7827916533521
5,111,124,38.16988142,54.15559928,0.505,301.4057193034197
2,112,122,29.88326149,39.99952609,0.47,345.55553976046417
2,112,120,29.32700096,39.36463645,0.433,376.633105094418
3,112,114,23.59645391,20.85750192,-0.456,116.46540786969759
3,112,114,9.638414828,18.17299185,1.422,112.11853795977004
5,112,116,69.08323674,74.25360751,0.315,266.28970722570625
5,112,114,40.75873662,43.78952915,0.505,270.1003389414056
5,112,119,20.64650659,45.45724694,0.865,282.1899895420803
5,112,112,13.71976183,13.71976183,NaN,284.2094041320934
2,114,121,27.13976481,35.02293089,0.341,247.97924377200437
2,114,122,29.98177972,39.78722132,0.404,204.2750117953872
1,117,134,27.14807555,53.72945231,0.521,254.58135270213253
1,117,132,30.97061732,55.27530821,0.523,310.9012916788604
5,117,120,80.39107995,90.62355291,1.13,264.5460141390219
5,117,120,47.87021528,53.95031395,0.697,269.8959556314826
3,118,118,36.34222131,36.34222131,NaN,102.99233280851647
3,118,122,38.74511449,44.95300099,0.544,113.95806295573036
3,119,121,26.45953493,40.54101827,2.347,102.021381275367
3,119,119,11.0034989,11.0034989,NaN,107.00747427314657
2,119,122,31.47947526,35.22157389,0.42,171.03554664154547
2,119,122,36.06254409,41.47830609,0.562,147.14570558339122
5,120,142,23.06469617,48.86408728,0.379,252.36233517003103
5,120,142,20.07312567,42.69041625,0.335,260.2760885472308
2,121,121,16.37789095,16.37789095,NaN,287.6138020283325
2,121,121,17.63634578,17.63634578,NaN,268.14115382295705
5,121,122,46.84144937,48.0674757,0.409,259.20377762819464
5,121,122,26.30002822,26.81317629,0.171,266.6214457153748
5,121,140,24.96115023,50.42906994,0.438,249.2334880908566
5,121,132,40.94683765,60.69631211,0.574,255.5232903293227
2,122,122,45.80472846,45.80472846,NaN,17.292900924211633
2,122,122,17.78141969,17.78141969,NaN,9.822521504454716
2,122,122,48.69524652,48.69524652,NaN,37.86274167263958
2,122,132,18.22510807,62.02813459,0.897,19.55199683153576
1,122,122,26.41109831,26.41109831,NaN,284.79147162904854
1,122,123,30.13237718,43.41754734,4.428,271.0176055902998
2,122,122,35.56660518,35.56660518,NaN,56.58193152104075
3,122,122,22.95052572,22.95052572,NaN,98.3212079748215
3,122,126,19.72147289,49.16175187,2.081,95.31511289168277
2,123,130,41.50410445,53.17988607,0.539,25.975091809090852
2,123,128,48.87281402,61.73012321,0.812,17.000386325941616
2,123,133,19.57590104,23.22520286,0.201,9.400379041274649
2,123,132,19.17026833,24.33196962,0.132,20.71119565010895
2,123,126,43.31566828,48.9295977,0.605,42.32257712065807
2,123,129,40.5842891,50.48755082,0.524,41.310627760291894
3,123,125,22.85309944,24.1560461,0.217,108.77010342486206
3,123,148,21.87902994,49.52330309,0.347,88.61354869371615
2,123,131,37.35437109,49.03213768,0.489,78.63382421202512
2,123,124,44.56594616,46.05553286,0.497,81.47118393618912
2,123,132,40.44072298,53.86199007,0.479,119.65376246666571
2,123,131,41.90187455,55.52680817,0.548,126.70876171741992
5,123,124,48.84500658,44.1865072,-1.553,260.0840250339129
5,123,123,27.75831683,27.75831683,NaN,266.4731786564663
1,124,132,32.46729232,42.98354016,0.448,251.40471964838616
1,124,138,25.7818986,55.13592957,0.844,167.444548109275
2,125,136,20.39076021,30.28849624,0.341,78.26225243358239
2,125,139,22.98666625,38.44274346,0.378,109.66627912377189
5,125,132,53.06480572,65.5225625,0.594,233.3675245969964
5,125,138,29.30917693,42.4663062,0.343,235.30185533365307
5,125,128,60.88844521,67.86405272,0.717,286.95835343201634
5,125,141,26.15407349,43.37665247,0.355,282.716767401395
3,126,145,27.05859817,48.57394735,0.386,103.10980832526639
3,126,154,21.67021628,46.42102992,0.314,75.79062141737626
2,127,153,22.40917097,48.27404798,0.338,34.99728395600923
3,127,149,24.61542467,49.58569029,0.399,65.53404321244209
2,127,138,23.22727689,32.46865266,0.305,57.99751244075392
3,127,143,24.73432603,41.13710108,0.349,83.98240487344053
3,128,152,20.99529071,46.40979286,0.351,99.6192735815468
3,128,134,24.95394898,27.05247288,0.105,90.9292401680937
2,129,132,26.56192788,28.07680687,0.165,16.459243246202803
2,129,153,28.40765844,57.55460613,0.343,12.408847240494158
5,129,149,29.22905985,76.66564122,0.592,208.16926789822313
5,129,139,34.27083444,48.43723163,0.473,296.0620313015901
2,130,132,24.03118549,25.42829044,0.233,7.33624130351901
2,130,143,21.74477208,30.74497603,0.263,9.490965376756858
2,130,143,24.77101595,38.61516128,0.37,26.59701390008373
2,130,143,22.8043514,37.33860061,0.358,56.70242148600586
2,131,137,23.91786207,28.76096584,0.27,21.047883440583167
2,131,143,26.00559155,37.94662093,0.34,17.52605278419182
5,131,154,29.0353928,28.12852006,-0.036,144.41857862209855
5,131,152,26.01550913,30.32964591,0.093,159.32771421314177
2,132,148,24.22981921,44.89987364,0.397,78.30579757647953
2,132,137,21.75349674,29.51039491,0.494,92.67876421602854
2,132,132,23.75560983,23.75560983,NaN,119.07453672870162
2,132,132,29.30059567,29.30059567,NaN,122.91695989258619
2,133,154,26.72647894,19.75882573,-0.165,8.617412418995976
2,133,150,27.67715152,40.59939768,0.193,15.438638704107653
1,133,149,25.05573317,38.21041917,0.261,38.58694422230263
1,133,148,28.26130618,49.05806246,0.493,18.669001112352603
2,133,133,58.34796523,58.34796523,NaN,124.93397191635505
2,133,145,25.51752847,54.50154114,0.715,120.75166193184022
2,133,143,30.84009549,44.9536166,0.454,123.45528642737918
5,133,139,33.07745426,38.23112993,0.302,216.02917095555327
5,133,154,28.91599225,40.54099219,0.173,157.84761612958863
5,133,149,26.38873466,47.19755794,0.426,168.67840218195315
5,133,140,33.6210657,41.63588139,0.384,244.47117313980152
2,134,143,25.92526263,31.78679075,0.278,108.99138580687388
2,134,147,30.66838254,52.38685601,0.598,126.26636852668254
5,134,149,31.99431547,51.79667903,0.435,173.08280592626036
5,134,149,33.60369486,57.10572875,0.526,179.79822855314984
1,135,143,21.81666748,33.93112308,0.497,26.290833738836604
1,135,148,26.87615683,83.38863329,1.39,51.15206395638205
3,135,152,24.57856428,49.55204305,0.472,74.2932065702212
3,135,143,30.55553573,38.93390354,0.369,85.30788075106697
2,138,143,12.28015203,33.64278783,1.084,90.08216668813759
2,138,138,12.49684566,12.49684566,NaN,97.07233834638126
1,139,142,27.09661727,64.555143,3.789,19.91263320067747
1,139,141,25.22381069,25.75037475,0.088,11.367171756868133
5,139,139,22.38118884,22.38118884,NaN,224.73246999608057
5,139,141,21.36591448,46.42855812,4.177,226.97732376434382
5,140,145,26.15696676,48.56130235,1.748,185.72374530481747
5,140,141,14.61469905,17.59410985,0.993,215.92026220960133
5,140,140,21.57663098,21.57663098,NaN,294.43689993454495
5,140,144,27.67874171,57.7272552,2.13,259.51277700229286
1,141,143,23.42782094,24.14507313,0.12,29.56191540661887
1,141,154,23.66864419,34.03018942,0.262,58.75169409170554
5,141,154,24.2342542,36.1490367,0.317,115.20794352659496
5,141,154,21.91447187,33.20349857,0.273,93.98153997677825
5,141,144,32.15392824,38.05887476,0.671,188.8225501705993
5,141,143,6.927907014,5.376796813,-0.259,257.4110627606884
2,142,143,34.64539803,34.27028981,-0.125,17.499932462039787
2,142,154,37.92798038,49.44410685,0.331,49.91441487891258
5,142,142,23.83901239,23.83901239,NaN,223.29652287828532
5,142,144,24.25395302,53.2325212,4.83,189.61745266627622
5,142,154,19.49004662,27.38351446,0.227,90.29111510221229
5,142,154,21.36291444,29.3460679,0.225,112.93979504060259
1,143,143,30.77642758,30.77642758,NaN,25.099725390597946
1,143,145,28.03630648,35.50933769,1.246,16.048372801264623
5,143,154,23.81253626,34.45395189,0.32,44.841440432000375
5,143,147,35.77847124,52.09427151,1.214,56.353795010137844
5,143,143,21.14849172,21.14849172,NaN,254.18367301639995
5,143,143,5.014265364,5.014265364,NaN,267.4899823217316
1,144,154,32.38540173,46.42410489,0.472,29.08704247806992
2,144,154,35.88535903,45.72508014,0.354,19.576331077448145
1,144,154,24.90189545,38.58569644,0.462,32.15842044361021
2,144,146,40.79062483,46.29729037,0.918,25.696358957224913
3,144,154,40.05134581,56.86735974,0.548,80.65245096624487
2,144,147,38.72399596,44.14914841,0.596,66.75715942660064
2,144,144,40.20054625,40.20054625,NaN,75.02307985028631
3,144,154,36.37039133,43.39128834,0.228,81.90300515191574
2,144,151,19.86056422,46.35824253,0.864,85.9175690766721
2,144,144,15.57549633,15.57549633,NaN,103.96299976334332
2,144,152,35.70914224,50.21861416,0.599,98.36382180959816
2,144,147,38.47244682,45.88473724,0.853,127.98636206361199
5,144,148,18.94781911,21.94905433,0.266,20.772200216864576
5,144,154,17.97217615,23.91042312,0.211,33.445526076821814
5,145,154,26.11091261,32.77423831,0.258,138.5047235419685
5,145,154,23.96903746,32.55405659,0.318,111.75976209766945
5,145,154,23.64843376,30.60135284,0.238,35.1939759309877
5,145,145,26.48042606,26.48042606,NaN,12.963909384379846
5,145,154,25.78441948,34.1761178,0.324,75.59364104448409
5,145,154,29.54306905,38.20014542,0.311,103.40045017543801
3,146,154,23.64235724,31.843926,0.345,115.69952241868191
3,146,154,20.85140376,28.54954006,0.327,90.8916418769589
2,146,151,24.36690956,27.44906409,0.188,113.23696143609722
2,146,154,27.27270227,33.95870591,0.271,89.17338110192235
5,146,148,23.21481057,55.33082465,5.353,141.55517570782678
5,146,147,26.6424907,26.88808972,0.082,124.17806124666342
5,146,154,16.50360732,37.78409281,0.607,10.162298814988638
5,146,147,5.304758877,5.857423361,0.184,9.13934254257737
2,147,153,22.58108014,28.43876293,0.315,21.67467152924574
2,147,154,20.80910522,26.336623,0.274,45.244712004886004
2,148,154,20.87838969,25.97668417,0.316,45.457852990758624
2,148,149,19.39559299,17.65645223,-0.58,85.5088936003334
2,148,154,20.3855677,25.65108327,0.285,59.77292616712942
2,148,154,21.78787946,25.02852252,0.132,74.87836175212722
2,148,154,46.79353905,54.65068621,0.472,84.82060513143018
2,148,149,54.94945402,56.63269854,0.561,98.82746112731596
5,148,148,45.24562288,45.24562288,NaN,9.072106183097581
5,148,152,5.327693425,6.539718985,0.112,20.320515685085194
1,149,150,44.78591484,89.18204038,14.799,49.17254287460379
1,149,149,42.91127759,42.91127759,NaN,19.234900547700487
1,149,153,24.27274403,27.41083436,0.242,16.224789855832412
1,149,154,21.9527546,25.36564888,0.244,23.35085021905812
3,149,154,23.79532199,27.53998122,0.253,58.441902665403624
2,149,154,20.27913796,22.48728523,0.194,40.787429349185125
3,149,154,21.82052276,26.34926284,0.307,82.01092757524073
2,149,149,21.3701154,21.3701154,NaN,102.22773113477658
5,149,154,18.16792312,27.21405999,0.49,153.615863182868
5,149,149,7.033689167,7.033689167,NaN,140.21232132020356
5,149,154,26.74378913,29.98097502,0.207,128.65336775054405
5,149,150,36.97231759,49.51402683,4.181,8.794556344849912
5,149,149,7.093783913,7.093783913,NaN,10.554369861236514
1,150,152,35.37880171,45.3263809,1.658,40.84352106451747
3,150,154,22.72540368,25.08608255,0.188,61.15743121142291
1,150,150,4.098780306,4.098780306,NaN,22.362193631772936
3,150,154,24.58621106,27.90744177,0.295,56.171889120299454
2,150,154,26.78797099,29.65721401,0.257,70.19461771645726
2,150,154,27.50494536,31.80820525,0.352,88.7101195083989
5,150,154,24.56085588,26.61875358,0.18,63.77496729950034
5,150,154,19.63389601,20.5894448,0.1,40.88264169317985
5,150,154,22.85836015,25.72513861,0.188,30.546797203090005
5,150,154,23.06885995,26.14714457,0.252,19.891507005276956
5,150,150,65.38652476,65.38652476,NaN,30.505838483034093
5,150,154,25.62326494,28.92914765,0.298,22.62997652601572
5,150,154,26.43890516,29.80724607,0.286,22.931742324506047
5,150,154,27.48508891,29.94865778,0.226,44.90243079362443
2,151,154,17.22950049,19.76686445,0.295,9.898608493755155
2,151,154,13.92362094,22.82387188,0.873,11.218675123325555
2,151,151,4.512608599,4.512608599,NaN,12.20150675047892
1,151,151,49.93391596,49.93391596,NaN,59.08068354396499
1,151,153,46.58377395,50.0670203,0.581,17.932621972799993
5,151,154,33.08289446,32.34962892,-0.193,11.586997478885937
5,151,154,33.56384845,35.4541687,0.237,21.48590468763247
5,151,154,13.16961815,30.52473006,2.245,16.699307641012396
5,151,154,30.90170119,34.28794735,0.317,51.72448548663506
1,152,154,20.6113579,23.27172172,0.443,47.9929956084944
1,152,154,21.53780154,23.8622378,0.387,71.88557611981305
1,153,154,22.40734003,23.58133626,0.391,52.1956990400159
1,153,154,23.55390967,23.11744354,-0.145,31.4327132567771
3,153,154,21.86892447,21.7567274,-0.037,109.7555589570286
3,153,154,23.43236027,23.66438539,0.077,75.11997617117274
3,153,154,21.76674777,22.41003423,0.214,88.94503596492376
3,153,154,23.12113897,23.40977772,0.096,67.13638865448422
2,153,154,25.81191107,26.00269176,0.064,23.630603741093523
2,153,154,22.48324217,22.38714878,-0.032,34.251884723789615
5,153,153,4.098780306,4.098780306,NaN,10.210314161976413
5,153,154,31.0592468,32.3219643,0.421,18.95350394632634
2,154,154,28.1840377,28.1840377,NaN,10.43761193621024
2,154,154,26.88239091,26.88239091,NaN,10.964081832477236
2,154,154,22.51111548,22.51111548,NaN,20.48178254608418
1,154,154,23.22133799,23.22133799,NaN,27.786252706205637
1,154,154,22.24786278,22.24786278,NaN,9.544484312380511
2,154,154,22.2790841,22.2790841,NaN,34.49637322356644
2,154,154,6.321665143,6.321665143,NaN,31.481243212722358
2,154,154,21.87871523,21.87871523,NaN,43.63102797322133
