Process Type,Total number of samples,Number of continuity links,Number of division links,TN,FP,FN,TP,Accuracy,Specificity,Sensitivity
Training on all data,33303,32235,1068,1011,57,854,31381,0.9726451070474131,0.9466292134831461,0.9735070575461455
Training on train split,26642,25788,854,808,46,666,25122,0.9732752796336611,0.9461358313817331,0.9741740344346208
Evaluation on test split,6661,6447,214,200,14,166,6281,0.9729770304759046,0.9345794392523364,0.9742515898867691
