stepNum,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,length,AreaShape_MinorAxisLength,AreaShape_Orientation,Children_transconjugants_Count,Intensity_MeanIntensity_gfp_channel_14bit,Intensity_MeanIntensity_rfp_channel_14bit,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_6,Number_Object_Number,label,TrackObjects_Lifetime_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,divideFlag,daughters_index,unexpected_end,division_time,unexpected_beginning,parent_id,bacteria_movement,endpoint1_X,endpoint1_Y,endpoint2_X,endpoint2_Y,bacteria_slope,id,direction_of_motion,TrajectoryX,TrajectoryY,parent_index,daughter_mother_LengthChangeRatio,slope_bac_bac,prev_bacteria_slope,daughter_length_to_mother,max_daughter_len_to_mother,avg_daughters_TrajectoryX,avg_daughters_TrajectoryY,other_daughter_index,LifeHistory,prev_time_step_MajorAxisLength,LengthChangeRatio,prev_time_step_center_x,prev_time_step_center_y,prev_time_step_endpoint1_X,prev_time_step_endpoint1_Y,prev_time_step_endpoint2_X,prev_time_step_endpoint2_Y,bac_source_neighbors_TrajectoryX,bac_source_neighbors_TrajectoryY,MotionAlignmentAngle,age,AverageLengthChangeRatio,prev_time_step_index,difference_neighbors,common_neighbors,cellAge,growthRate,startVol,targetVol,pos,time,radius,dir,ends,strainRate,strainRate_rolling,cellType
295,11,382,32.7079790575916,5.42073298429319,7.09757284371169,1.45570946137209,-1.18288042464285,0,0.0004048833662536,0.109719717845867,32.7079790575916,5.42073298429319,0,43.2065211728022,11,9738,34,0,0,True,"179990, 179991",False,296,False,0,0.305993391638385,34.0503429735749,2.13562352112236,31.3656151416084,8.70584244746402,-2.44725698006011,20815,-1.29220446201701,0.0841488188648327,-0.294195397669671,,,1.7505020525696,-2.67812029215551,1.58424842237054,0.986435455508022,0.766423177045255,-0.690327463425628,,34,7.04927906130324,1.00685088247869,32.6238302387268,5.71492838196286,33.8567698492643,2.41296779198004,31.3908906281893,9.01688897194569,0.00746447165557207,-0.123406203561614,0.0032915934685704,34,1.00054595620226,178702,0,3,34,0,6.99203001886746,7.09757284371169,"[32.707979057591615, 5.420732984293193]",1475,0.727854730686046,"[0.37825998987035564, -0.9256994004876953]","[[34.050342973574864, 2.13562352112236], [31.36561514160837, 8.705842447464017]]",0.00685088247868533,0.000545956202257031,41303
295,12,170,54.2846117647059,4.36828235294118,4.24523017780415,1.07618538350765,-1.73412476864775,0,0.0234342676368268,0.0006613439606393,54.2846117647059,4.36828235294118,0,137.478060724896,12,11724,29,0,0,True,,False,299,False,0,1.65791658359113,54.6297558695512,6.46264869208181,53.9394676598605,2.27391601380055,6.0680924568569,24216,-1.60315140322035,-0.0817040247678023,-2.52434922600619,,,16.3031066100828,-8.20939726916328,,,,,,5,4.20661480619167,1.00917967852812,54.3663157894737,6.89263157894737,54.6206431606425,4.80475715260076,54.1119884183049,8.98050600529398,2.16652493288701,3.50266816027574,0.250404757429272,2,1.08658637277856,178721,1,2,2,0.018,4.20661480619167,5.7269947164241,"[54.28461176470588, 4.3682823529411765]",1475,0.538092691753826,"[-0.16260324665074502, -0.9866915344618281]","[[54.62975586955122, 6.462648692081805], [53.93946765986054, 2.2739160138005476]]",0.00917967852812243,0.00458983926406121,0
295,13,80,41.1534,3.8304,2.70841178171292,0.798661693508993,-1.32243933516201,0,0.0301510647172108,0.0008216983289457,41.1534,3.8304,0,79.8288096214106,13,11589,5,0,0,False,,True,0,False,0,0.558581183622783,41.4862796451726,2.51774439525817,40.8205203548274,5.14305560474183,-3.94333394600113,23887,-1.36518154391983,0.729926946107781,-3.49980359281437,,,4.99896605644742,-6.15319825201923,,,,,,5,5.5591719358978,0.487196980583317,40.4234730538922,7.33020359281437,40.86935345395,4.58661309456893,39.9775926538344,10.0737940910598,,,0.0454037966964911,5,1.09069566239572,178713,0,0,5,-0.004,3.00669726484196,2.70841178171292,"[41.1534, 3.8304]",1475,0.399330846754497,"[0.24581169482437126, -0.9693176005250138]","[[41.48627964517257, 2.5177443952581733], [40.82052035482742, 5.143055604741827]]",-0.512803019416683,0.0725565299165785,0
295,14,292,7.77254794520548,5.08487671232877,5.24735042375696,1.50136894279021,-1.3796644400353,0,0,0.049402651555632,7.77254794520548,5.08487671232877,0,106.47607049168,14,9404,225,0,0,False,,False,0,False,0,0.366145380618589,8.27096828961597,2.5089790478818,7.274127600795,7.66077437677573,-5.1681230377818,20775,-1.22214966164876,0.125084857957159,-0.344116576261837,,,2.01801136661817,-4.34217167303367,,,,,,61,5.20569612689237,1.00800167659603,7.64746308724832,5.4289932885906,8.23160697170777,2.89254026051494,7.06331920278888,7.96544631666626,-0.0937164217696069,1.29499769019576,0.803569531312934,35,1.00172859221392,178704,1,1,35,0,4.55407598096329,4.98594974062987,"[7.77254794520548, 5.084876712328766]",1475,0.750684471395105,"[0.18997029135082194, -0.9817898392243035]","[[8.270968289615965, 2.508979047881802], [7.274127600794996, 7.660774376775731]]",0.0080016765960287,0.00442798829885618,0
295,15,157,24.6047388535032,3.82287898089172,3.29190059839752,1.2648645671327,-0.402219669419989,0,0,0.0903932798392833,24.6047388535032,3.82287898089172,0,41.8943479231403,15,5543,209,0,0,False,,False,0,False,0,0.242101561675299,26.1193330121703,3.17855226100184,23.0901446948361,4.4672057007816,-0.425412125223644,14111,-0.854161948517793,0.159024567788901,-0.182549590536851,,,2.58408923557871,-0.37311700485043,,,,,,107,3.34505776674499,0.984108744286592,24.4457142857143,4.00542857142857,26.0127198242085,3.42075215832157,22.8787087472201,4.59010498453557,-0.0347502896994012,-0.116030315315254,0.0742179745147444,94,0.996835103592741,178705,0,2,94,-0.001,5.21757119427295,3.37403909641645,"[24.604738853503186, 3.82287898089172]",1475,0.632432283566352,"[0.9201943457250049, -0.3914618322336548]","[[26.119333012170266, 3.1785522610018404], [23.090144694836106, 4.4672057007816]]",-0.0158912557134081,-0.00390480043581502,0
295,16,860,28.7243162790698,8.06818604651163,10.569014106709,2.42501867788399,-1.10484769416537,0,2.27111023525859E-06,0.138210613925963,28.7243162790698,8.06818604651163,0,66.1799464187945,16,6052,78,0,0,True,,False,301,False,0,0.157808267784606,31.0984894466772,3.34702977212644,26.3501431114624,12.7893423208968,-1.98854756628514,16624,-1.27317488329978,0.0798362790697738,-0.260280239202658,,,0.373299389593214,-2.02125063714423,,,,,,77,10.7911230443105,0.979417439993092,28.64448,8.32846628571429,31.0370892523301,3.49240331000496,26.2518707476699,13.1645292614236,0.277133532682111,-0.313161613166455,0.0160109018622334,72,1.01358668886555,178706,0,3,72,0.001,4.04337273900075,10.0980901721929,"[28.724316279069768, 8.068186046511627]",1475,1.212509338942,"[0.44927050785187617, -0.8933957749925379]","[[31.09848944667717, 3.347029772126442], [26.350143111462366, 12.789342320896813]]",-0.0205825600069076,0.0151805742748203,41304
295,17,348,65.967724137931,5.38179310344828,5.30821416778162,1.75327029357358,-2.08721215134428,0,0.0001476792693566,0.0434757599596405,65.967724137931,5.38179310344828,0,162.930608077585,17,5490,183,0,0,True,,False,308,False,0,0.322981621664648,67.278233400956,7.68979004544912,64.6572148749061,3.07379616144743,1.76114508086229,21493,-1.20872285323993,0.194331872737664,-0.513057725281006,,,9.08848305277589,1.24923451967148,,,,,,37,5.32056512295263,0.997678638474373,65.7733922651934,5.89485082872928,67.4358783129048,7.97168578800259,64.1109062174819,3.81801586945597,-0.187799456631258,-0.18139331612059,0.0139974006615575,25,0.998929560761462,178711,0,3,25,0,5.17765898002069,4.77461105239542,"[65.96772413793103, 5.381793103448276]",1475,0.876635146786788,"[-0.4937665367682845, -0.8695945073238759]","[[67.27823340095597, 7.68979004544912], [64.65721487490609, 3.0737961614474307]]",-0.00232136152562644,0.00113017148341758,0
295,18,156,58.3329230769231,4.84523076923077,3.39415905878383,1.21973551294757,-1.86597012814469,0,0.0120534537216791,0.0008834582419158,58.3329230769231,4.84523076923077,0,96.2059524858163,18,11011,17,0,0,False,,False,0,False,0,0.665659153899214,58.826613930794,6.46891431902898,57.8392322230522,3.22154721943256,3.28886698440391,24117,-1.87079753498498,-0.196716499048648,-0.635928241369937,,,11.2410315531134,10.0699553776787,,,,,,4,5.88940926196322,0.576315706348517,58.5296395759717,5.48115901060071,58.8206330678999,8.41145048951199,58.2386460840436,2.55086753168943,-0.797189406097395,-1.3981075008936,0.00237724961775385,3,1.58894313805939,178703,2,2,3,0.03,1.91648860990525,3.79294885199141,"[58.33292307692307, 4.845230769230769]",1475,0.609867756473784,"[-0.2909061392354452, -0.9567515968918618]","[[58.82661393079398, 6.4689143190289755], [57.839232223052164, 3.221547219432562]]",-0.423684293651483,0.549778818188997,0
295,19,156,17.3095384615385,5.23384615384615,3.22475112014439,1.28397140933566,-1.672338773279,0,0,0.084314704251786,17.3095384615385,5.23384615384615,0,166.644532604607,19,3401,225,0,0,False,,False,0,False,0,0.166723192128024,17.4729818085109,6.83791635774891,17.1460951145661,3.6297759499434,9.81422758170526,23298,-0.813012414704571,0.114591093117408,-0.121101214574899,,,4.17720211322525,5.67408707760535,,,,,,14,3.35350418241956,0.961606410706107,17.1949473684211,5.35494736842105,17.4859726996016,7.00625043932828,16.9039220372405,3.70364429751382,-0.0556973002308497,-0.0714931976054185,0.125909732599957,10,1.00268202456315,178712,0,3,10,-0.001,3.43975710566222,3.52149804903389,"[17.30953846153846, 5.233846153846153]",1475,0.64198570466783,"[-0.10136803795579784, -0.994848994009137]","[[17.47298180851086, 6.837916357748906], [17.14609511456606, 3.629775949943401]]",-0.0383935892938929,-0.00659995353389555,0
295,20,119,59.631731092437,5.18884033613445,2.86116140350324,1.21011631196932,-1.98151306658948,0,0.0056230136811608,0.0017977435877468,59.631731092437,5.18884033613445,0,90.0570112677105,20,11722,17,0,0,True,,False,297,False,0,0.756798815481151,60.2029141316504,6.50044663374783,59.0605480532235,3.87723403852108,2.29629769717875,24213,-1.6988603289959,-0.121364797973989,-0.94250212961897,,,16.4906821865872,8.09568587908465,,,,,,3,5.91496651362033,0.483715570817666,59.753095890411,6.13134246575342,60.115656378304,9.06651828790299,59.3905354025179,3.19616664360386,0.00720012958697562,0.0450930909407202,0.125940707663092,2,1.58131680637423,178709,1,2,2,0.026,5.91496651362033,7.66481690472085,"[59.631731092436965, 5.1888403361344535]",1475,0.605058155984662,"[-0.39926656253231435, -0.9168348881034303]","[[60.2029141316504, 6.500446633747831], [59.06054805322353, 3.8772340385210753]]",-0.516284429182334,-0.258142214591167,0
