TimeStep,NumberOfCells
1,999
2,997
3,1002
4,1015
5,998
6,1019
7,1006
8,987
9,982
10,972
11,986
12,1002
13,1008
14,1011
15,989
16,985
17,978
18,964
19,954
20,963
21,988
22,981
23,992
24,981
25,1011
26,1011
27,1000
28,985
29,982
30,988
31,965
32,961
33,970
34,970
35,969
