ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,AreaShape_MajorAxisLength,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,id,parent_id,NoiseObject,UnexpectedEnd_by_CellProfiler,UnexpectedEnd_by_Trackrefiner,UnexpectedBeginning_by_CellProfiler,UnexpectedBeginning_by_Trackrefiner,TrackingLinkModified
1,57,83.8203870967742,170.5563870967742,3.375965353451614,0.0,0,57,0,False,False,True,False,False,False
1,61,248.0671475409836,171.6102295081967,1.3852248285434623,0.0,0,61,0,False,True,False,False,False,False
1,71,241.63506382978724,211.12544680851065,1.2442714521369247,0.0,0,71,0,False,True,False,False,False,False
1,82,48.21738842975206,262.82816528925616,4.521962148814241,0.0,0,82,0,False,True,False,False,False,False
2,34,4.38,100.09679999999999,1.5739195728970006,1.0,33,33,0,False,True,False,False,False,False
2,59,85.68070935960591,171.54195073891626,8.08082090639546,1.0,62,62,0,False,False,False,False,False,True
2,68,108.84572212692966,198.69604116638078,6.739151326177459,1.0,68,68,0,False,True,False,False,False,False
2,89,291.59157735849055,283.3488,7.259896750832567,0.0,0,97,0,False,False,False,True,False,False
3,61,246.29958620689655,170.62262068965518,1.682799800082966,2.0,58,56,0,False,True,False,False,False,False
3,85,48.42178217821782,263.08799999999997,4.703072275222113,2.0,80,107,80,False,False,True,False,False,False
3,92,291.64835621521337,283.3738330241187,7.720709363429276,2.0,89,97,0,False,True,False,False,False,False
4,84,47.0304367816092,261.82491954022987,9.608145454117606,3.0,82,106,80,False,False,False,False,False,True
5,4,2.34612,8.62956,4.963009208052426,0.0,0,114,0,False,False,False,True,False,False
5,67,246.46681865284972,172.56795854922277,2.7088401578935564,4.0,65,60,0,False,True,False,False,False,False
5,68,88.35339130434782,172.7686956521739,1.196254851433884,4.0,63,118,62,False,True,False,False,False,False
6,4,2.5253087557603684,8.596866359447004,5.535703146580654,5.0,4,114,0,False,True,False,False,False,False
6,68,249.0867692307692,171.48461538461532,1.25949616574394,5.0,64,58,0,False,True,False,False,False,False
6,91,48.49862889518413,263.57915014164297,4.4770219203875685,5.0,88,126,106,False,False,True,False,False,False
7,66,249.8441860465116,168.36167441860462,7.212391993483439,6.0,64,102,55,False,True,False,False,False,False
7,89,47.17431932773109,262.26373109243696,8.920950671245048,6.0,88,125,106,False,False,False,False,False,True
7,99,291.10117985611504,284.7742446043165,7.715699366064637,0.0,0,135,0,False,False,False,True,False,False
8,10,102.32447244094487,32.38525984251969,4.301884113388755,7.0,9,138,7,False,True,False,False,False,False
8,75,246.43273846153846,172.93956923076922,1.5266648225186519,0.0,0,148,0,False,True,False,True,False,False
9,7,3.8514437086092705,11.592158940397349,9.134780673582112,0.0,0,153,0,False,False,False,True,False,False
9,11,47.120615384615384,24.208,4.163152527741272,8.0,9,116,6,False,True,False,False,False,False
9,38,263.8634787535411,84.34810198300282,5.189661102429512,8.0,33,157,23,False,False,True,False,False,False
9,55,51.10628571428571,115.84971428571428,2.228170521543998,8.0,52,37,0,False,True,False,False,False,False
