ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,AreaShape_MajorAxisLength,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,id,parent_id,NoiseObject,UnexpectedEnd_by_CellProfiler,UnexpectedEnd_by_Trackrefiner,UnexpectedBeginning_by_CellProfiler,UnexpectedBeginning_by_Trackrefiner,TrackingLinkModified
1,1,13.227155801104969,1.726567955801105,20.767951779444058,0.0,0,0,0,True,False,False,False,False,False
1,2,51.73465351131747,1.8506047591410328,61.5041475633577,0.0,0,0,0,True,False,False,False,False,False
1,3,2.1510559006211176,12.705987577639752,7.756016551821991,0.0,0,0,0,True,False,False,False,False,False
1,4,1.944,16.155428571428573,1.2048558281132737,0.0,0,0,0,True,False,False,False,False,False
1,5,0.6684631578947369,17.51343157894737,3.4663159545313666,0.0,0,0,0,True,False,False,False,False,False
1,6,1.552107382550335,18.497718120805366,4.211302204170822,0.0,0,0,0,True,False,False,False,False,False
1,7,1.6998260869565214,21.568695652173915,1.817895168501029,0.0,0,0,0,True,False,False,False,False,False
1,8,0.9825097770154374,45.59123979416809,56.97316385230293,0.0,0,0,0,True,False,False,False,False,False
1,45,0.7573584905660377,77.02641509433961,6.657442792157937,0.0,0,0,0,True,False,False,False,False,False
1,49,15.49062295081967,81.72590163934426,1.6742811329606486,0.0,0,40,0,False,True,False,False,False,False
1,50,37.883294117647054,81.6,1.7794046360349614,0.0,0,41,0,False,True,False,False,False,False
2,1,13.385753424657533,1.6957808219178079,20.494992302059917,0.0,0,0,0,True,False,False,False,False,False
2,2,51.920110344827584,1.8401793103448276,61.25267004042235,0.0,0,0,0,True,False,False,False,False,False
2,3,2.424558139534884,10.702883720930231,3.0339094982881902,0.0,0,0,0,True,False,False,False,False,False
2,4,1.9896585365853658,14.222634146341465,3.1515677353426574,0.0,0,0,0,True,False,False,False,False,False
2,5,1.0525616045845272,18.360206303724926,5.967585963232085,0.0,0,0,0,True,False,False,False,False,False
2,6,1.8352941176470583,16.128,1.4616400205692694,0.0,0,0,0,True,False,False,False,False,False
2,7,1.6809795918367345,21.55591836734694,1.8648845232600995,0.0,0,0,0,True,False,False,False,False,False
2,8,0.97637686179425,45.4997104260478,57.12214734850737,0.0,0,0,0,True,False,False,False,False,False
2,46,0.7271287128712871,75.51160396039603,3.3687392102470968,0.0,0,0,0,True,False,False,False,False,False
2,47,0.7834128440366972,78.40073394495413,3.224270599811964,0.0,0,0,0,True,False,False,False,False,False
3,1,44.092958940397345,1.820503311258278,86.38971897412321,0.0,0,0,0,True,False,False,False,False,False
3,2,1.8573667157584683,10.790880706921943,10.900615278108882,0.0,0,0,0,True,False,False,False,False,False
3,3,1.8719999999999999,16.093714285714285,1.5077810321450342,0.0,0,0,0,True,False,False,False,False,False
3,4,1.309090909090909,18.41641558441558,4.143245408684966,0.0,0,0,0,True,False,False,False,False,False
3,5,1.5352258064516129,21.532645161290322,1.7592091718716203,0.0,0,0,0,True,False,False,False,False,False
3,6,1.057667347772783,45.28261544748671,56.51680133575187,0.0,0,0,0,True,False,False,False,False,False
3,45,0.8216949152542372,77.04650847457626,6.985188480445367,0.0,0,0,0,True,False,False,False,False,False
3,50,10.488328767123287,81.21008219178081,1.8834247852027637,0.0,0,49,0,False,False,False,True,False,False
3,51,48.477046153846146,81.65907692307692,2.245456959723154,0.0,0,50,0,False,True,False,True,False,False
4,1,41.829176470588244,1.7990274509803919,85.09154871115823,0.0,0,0,0,True,False,False,False,False,False
4,2,1.7270999999999999,11.610899999999999,9.260935042449875,0.0,0,0,0,True,False,False,False,False,False
4,3,1.2404372990353698,17.99629581993569,5.35980196967607,0.0,0,0,0,True,False,False,False,False,False
4,4,1.6889999999999998,21.567,1.8569410035609903,0.0,0,0,0,True,False,False,False,False,False
4,5,0.9749426086956522,45.40808347826087,57.10255196670007,0.0,0,0,0,True,False,False,False,False,False
4,49,0.7270588235294116,75.49694117647057,3.4035940415699883,0.0,0,0,0,True,False,False,False,False,False
4,50,0.7783448275862068,78.50731034482759,3.546330213691705,0.0,0,0,0,True,False,False,False,False,False
4,56,12.21495652173913,81.23791304347826,1.2494649942248224,0.0,0,61,0,False,False,False,True,False,False
5,1,40.93868526591107,1.8311037489102002,86.38269088067636,0.0,0,0,0,True,False,False,False,False,False
5,2,1.8136036866359446,10.71373271889401,3.852608626679118,0.0,0,0,0,True,False,False,False,False,False
5,3,1.9174736842105262,14.556631578947368,2.186356490695058,0.0,0,0,0,True,False,False,False,False,False
5,4,1.251116883116883,18.51490909090909,3.8756084988479107,0.0,0,0,0,True,False,False,False,False,False
5,5,1.6106666666666662,21.528,1.84409978038066,0.0,0,0,0,True,False,False,False,False,False
5,6,0.9623140730237504,45.27990925203828,57.24232624784195,0.0,0,0,0,True,False,False,False,False,False
5,52,0.7486567164179104,76.83367164179104,6.386812027493171,0.0,0,0,0,True,False,False,False,False,False
5,55,19.967407407407407,81.16148148148147,5.708350166354322,4.0,54,39,0,False,True,False,False,False,False
5,56,49.89492537313432,80.13170149253732,3.4894475388795057,4.0,53,48,38,False,True,False,False,False,False
5,57,0.7919999999999999,81.36,1.8997317479787736,0.0,0,0,0,True,False,False,False,False,False
5,58,12.429134328358208,81.28692537313432,1.5769408604964996,4.0,56,61,0,False,True,False,False,False,False
5,59,10.826790697674419,81.288,2.256887352517199,4.0,55,49,0,False,True,False,False,False,False
5,60,15.709787234042555,81.83489361702128,2.0436299070747332,0.0,0,66,0,False,True,False,True,False,False
5,61,36.34863157894737,81.68336842105262,1.7343125803732098,0.0,0,67,0,False,True,False,True,False,False
6,1,12.913693548387094,1.6706612903225806,21.753081332400782,0.0,0,0,0,True,False,False,False,False,False
6,2,51.32305350248207,1.6992079426365143,60.03643087576949,0.0,0,0,0,True,False,False,False,False,False
6,3,79.5,3.1040000000000005,3.7687514839877374,0.0,0,0,0,True,False,False,False,False,False
6,4,1.8767999999999996,14.121599999999999,3.3926793170019502,0.0,0,0,0,True,False,False,False,False,False
6,5,0.7010526315789473,18.24685714285714,9.255859383663116,0.0,0,0,0,True,False,False,False,False,False
6,6,1.533942857142857,17.808,5.743961794149914,0.0,0,0,0,True,False,False,False,False,False
6,7,1.4927323943661972,21.52495774647887,1.8843963036248297,0.0,0,0,0,True,False,False,False,False,False
6,8,0.9470467899891185,45.30024809575626,57.24259008108981,0.0,0,0,0,True,False,False,False,False,False
6,55,0.738909090909091,76.81163636363637,6.367195011417307,0.0,0,0,0,True,False,False,False,False,False
7,1,13.455606557377047,1.5289180327868852,20.978980934881882,0.0,0,0,0,True,False,False,False,False,False
7,2,51.01126310534199,1.635726410384423,59.89529567153976,0.0,0,0,0,True,False,False,False,False,False
7,3,2.147657142857143,10.466742857142856,3.4364469243547062,0.0,0,0,0,True,False,False,False,False,False
7,4,1.9302471910112358,13.896808988764041,3.4443495212299577,0.0,0,0,0,True,False,False,False,False,False
7,5,1.573132075471698,17.44301886792453,1.9414092231858742,0.0,0,0,0,True,False,False,False,False,False
7,6,1.5479999999999998,19.421999999999997,2.2748174447038836,0.0,0,0,0,True,False,False,False,False,False
7,7,1.6019999999999999,21.528,1.7199813952482155,0.0,0,0,0,True,False,False,False,False,False
7,8,0.800339240506329,46.774845569620254,56.10023607217693,0.0,0,0,0,True,False,False,False,False,False
7,58,0.6195555555555555,77.5111111111111,8.072077955399866,0.0,0,0,0,True,False,False,False,False,False
7,59,44.28378947368421,78.08673684210525,3.351774213786627,6.0,56,37,0,False,True,False,False,False,False
7,61,19.492701030927837,80.8418969072165,5.1394672318391565,0.0,0,76,0,False,True,False,True,False,False
7,62,49.82529729729729,80.13405405405405,3.6886697186226796,0.0,0,77,0,False,False,False,True,False,False
7,63,15.681417721518988,81.73549367088607,1.907172314488267,0.0,0,78,0,False,False,False,True,False,False
8,1,12.983438453713122,1.6720406917599182,21.573380755567733,0.0,0,0,0,True,False,False,False,False,False
8,2,50.48892010535557,1.7398419666374008,59.18249396299707,0.0,0,0,0,True,False,False,False,False,False
8,3,78.71531707317072,3.0696585365853655,3.291570166759298,0.0,0,0,0,True,False,False,False,False,False
8,4,1.3621775147928992,16.476781065088755,8.49625917183239,0.0,0,0,0,True,False,False,False,False,False
8,5,1.441972602739726,21.532931506849316,1.695289629492048,0.0,0,0,0,True,False,False,False,False,False
8,6,1.0333508252221753,45.05895895048666,56.52546545339744,0.0,0,0,0,True,False,False,False,False,False
8,59,0.8180613496932515,76.85447852760736,6.613792512369992,0.0,0,0,0,True,False,False,False,False,False
8,62,12.5208,81.06119999999999,1.0980715064017672,0.0,0,85,0,False,False,False,True,False,False
9,1,13.249237379162192,1.6373619763694949,21.188638077783374,0.0,0,0,0,True,False,False,False,False,False
9,2,51.0785719237435,1.7112374350086654,59.343840445407075,0.0,0,0,0,True,False,False,False,False,False
9,3,2.3327999999999998,10.460571428571427,3.67738365275863,0.0,0,0,0,True,False,False,False,False,False
9,4,1.7403870967741935,14.856774193548384,4.550721122108925,0.0,0,0,0,True,False,False,False,False,False
