stepNum,ObjectNumber,Location_Center_X,Location_Center_Y,AreaShape_MajorAxisLength,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,id,parent_id,noise_bac,unexpected_end,unexpected_beginning,changed
305,85,38.41584466,15.67747573,8.543300494,304,106,25440,0,FALSE,TRUE,FALSE,FALSE
305,104,62.17172519,16.86998473,6.039849517,304,109,25632,0,FALSE,TRUE,FALSE,FALSE
305,110,35.13819847,18.37630534,7.971448692,304,126,25436,0,FALSE,TRUE,FALSE,FALSE
305,116,68.82425806,16.39277419,2.59600875,304,113,25633,0,FALSE,TRUE,FALSE,FALSE
305,117,18.24147692,16.41267692,2.785754151,304,118,21919,21459,FALSE,TRUE,FALSE,FALSE
305,119,47.47496907,18.39637113,6.734185537,304,141,25279,24966,FALSE,TRUE,FALSE,FALSE
305,124,59.89411765,17.13176471,2.586182989,304,134,25637,25355,FALSE,TRUE,FALSE,FALSE
305,128,32.89120557,19.61811847,6.930993059,304,153,24976,24771,FALSE,TRUE,FALSE,FALSE
305,132,31.75914894,19.96238298,6.483031939,304,139,25639,25428,FALSE,TRUE,FALSE,FALSE
305,135,35.91577358,19.16649057,3.890806631,304,146,25438,0,FALSE,TRUE,FALSE,FALSE
305,136,37.062,18.654,2.701703081,304,147,25442,0,FALSE,TRUE,FALSE,FALSE
305,142,61.0595122,19.50532683,4.931491516,304,135,25753,25361,FALSE,FALSE,FALSE,TRUE
305,146,41.47629851,20.53504478,3.347002359,304,164,25644,25451,FALSE,TRUE,FALSE,FALSE
305,154,55.68609288,23.92183282,7.90172002,304,173,24859,0,FALSE,TRUE,FALSE,TRUE
305,158,59.12581395,23.45734884,6.87290157,304,182,25364,24258,FALSE,TRUE,FALSE,FALSE
305,173,42.28494545,23.59898182,2.70566699,304,184,25647,25359,FALSE,TRUE,FALSE,FALSE
305,178,15.48812903,23.90632258,5.404603331,304,186,24965,24254,FALSE,FALSE,FALSE,TRUE
305,179,48.07759398,24.7517594,3.269583675,304,199,24984,24856,FALSE,TRUE,FALSE,FALSE
305,185,16.78716279,25.40427907,5.426662873,304,191,25765,10756,FALSE,TRUE,FALSE,FALSE
305,186,47.244,25.4472,2.670278882,304,169,25766,24980,FALSE,TRUE,FALSE,FALSE
305,190,10.35878788,25.35078788,7.415693586,304,198,24967,24254,FALSE,FALSE,FALSE,TRUE
305,194,54.27313548,26.64650323,3.715166387,304,166,25768,24763,FALSE,TRUE,FALSE,FALSE
305,198,10.50850485,26.38974757,4.456652728,304,209,24257,23223,FALSE,TRUE,FALSE,TRUE
305,218,15.33536283,28.80892035,3.125722215,304,221,25288,24981,FALSE,TRUE,FALSE,FALSE
305,222,64.3882314,30.25071074,3.421637213,304,236,21551,0,FALSE,TRUE,FALSE,FALSE
305,231,33.89878033,36.90224262,18.08955333,304,244,25387,25010,FALSE,TRUE,FALSE,FALSE
305,236,18.82716279,31.04874419,2.01958281,304,232,25286,0,FALSE,TRUE,FALSE,FALSE
305,237,42.07258537,31.32878049,1.807868156,304,231,25658,0,FALSE,TRUE,FALSE,FALSE
305,238,17.07361943,31.5791417,5.174608442,304,242,24551,24166,FALSE,TRUE,FALSE,FALSE
305,242,13.48457143,31.70171429,3.088209272,304,246,25778,24985,FALSE,TRUE,FALSE,FALSE
305,243,10.37349618,31.95370992,2.977041997,304,246,25779,24985,FALSE,TRUE,FALSE,FALSE
305,247,20.45245361,33.24692784,3.480366675,304,249,25663,25467,FALSE,TRUE,FALSE,TRUE
305,248,24.88459919,35.43274494,7.547918557,304,255,25471,0,FALSE,TRUE,FALSE,FALSE
305,253,53.86643478,33.33704348,1.927498401,304,261,25477,0,FALSE,TRUE,FALSE,FALSE
305,255,63.5596701,34.9571134,4.778109347,304,247,25159,0,FALSE,TRUE,FALSE,FALSE
305,258,64.7142659,35.45812717,4.60842131,304,266,25781,24172,FALSE,TRUE,FALSE,FALSE
305,260,27.49418182,34.35054545,1.888171319,304,250,25476,0,FALSE,TRUE,FALSE,FALSE
305,262,38.71905882,34.92,4.278451013,304,273,25480,0,FALSE,TRUE,FALSE,FALSE
305,265,36.00812903,35.57612903,3.402785189,304,282,25667,0,FALSE,TRUE,FALSE,TRUE
305,274,61.85821091,37.05041455,6.129979577,304,280,25168,24293,FALSE,TRUE,FALSE,FALSE
305,276,13.97485714,36.144,2.81926371,304,138,25783,25638,FALSE,TRUE,FALSE,FALSE
305,280,57.20088189,37.0624252,2.988344664,304,294,23470,0,FALSE,FALSE,FALSE,TRUE
305,287,15.77534694,37.72946939,2.590836236,304,296,25484,0,FALSE,TRUE,FALSE,FALSE
305,292,31.03,39.405,3.582912931,304,304,25494,24432,FALSE,TRUE,FALSE,FALSE
305,298,64.13996215,41.84721767,7.241846374,304,312,25177,24293,FALSE,TRUE,FALSE,FALSE
305,303,48.28828487,42.7709911,8.692447076,304,347,25675,25185,FALSE,FALSE,FALSE,TRUE
305,305,58.032,40.30475294,2.504275595,304,307,24592,0,FALSE,TRUE,FALSE,FALSE
305,306,66.07733333,40.20266667,2.557997763,304,305,24296,0,FALSE,TRUE,FALSE,TRUE
305,309,65.02674627,40.99486567,3.528583239,304,327,25501,16801,FALSE,TRUE,FALSE,FALSE
305,318,72.35089655,42.51062069,4.772831052,304,326,25015,0,FALSE,TRUE,FALSE,FALSE
305,319,60.208,42.975,3.730347891,304,339,25505,0,FALSE,TRUE,FALSE,FALSE
305,325,66.68536082,43.2,3.141820275,304,325,25671,0,FALSE,TRUE,FALSE,FALSE
305,326,38.67547826,43.27930435,3.974932879,304,340,25506,0,FALSE,TRUE,FALSE,FALSE
305,335,49.89984733,44.75651908,3.379929945,304,350,25508,0,FALSE,TRUE,FALSE,FALSE
305,337,33.41314286,45.3168,3.678476666,304,353,25511,0,FALSE,TRUE,FALSE,FALSE
305,346,20.77755705,46.46754362,4.065171192,304,359,25513,0,FALSE,FALSE,FALSE,TRUE
305,362,16.4682905,49.96719553,4.531026883,304,377,24612,24306,FALSE,TRUE,FALSE,FALSE
305,369,24.1248,50.9216,3.683178397,304,388,25681,0,FALSE,TRUE,FALSE,FALSE
305,379,10.552,52.13333333,2.164381086,304,394,25524,0,FALSE,TRUE,FALSE,FALSE
305,385,18.16123077,53.63692308,3.034951215,304,403,25052,0,FALSE,FALSE,FALSE,TRUE
305,388,78.6429,54.9234,5.365669283,304,433,25690,25530,FALSE,FALSE,FALSE,TRUE
305,396,50.22905263,55.87115789,4.637870987,304,405,25685,25320,FALSE,TRUE,FALSE,FALSE
305,412,54.45843038,56.54551899,3.780028143,304,432,24641,0,FALSE,FALSE,FALSE,TRUE
305,413,64.79775,56.0025,2.192229889,304,395,25801,25528,FALSE,TRUE,FALSE,FALSE
305,420,30.56344615,57.30092308,4.313752574,304,453,25541,0,FALSE,TRUE,FALSE,FALSE
305,424,51.12219847,57.84073282,4.175579135,304,454,24890,0,FALSE,TRUE,FALSE,FALSE
305,425,11.259,56.439,2.092068411,304,445,25804,25694,FALSE,TRUE,FALSE,FALSE
305,429,36.13707692,57.53492308,2.662289777,304,450,21640,0,FALSE,TRUE,FALSE,FALSE
305,432,8.836363636,57.00872727,2.355597305,304,445,25805,25694,FALSE,TRUE,FALSE,FALSE
305,438,9.860210526,57.78947368,2.151027887,304,459,25696,0,FALSE,TRUE,FALSE,FALSE
305,451,69.85152,59.88384,1.892041332,304,466,25548,0,FALSE,TRUE,FALSE,FALSE
305,465,41.08491743,61.9239633,3.318591033,304,506,25560,0,FALSE,FALSE,FALSE,TRUE
305,482,34.61171831,63.41577465,3.540454256,304,517,21662,0,FALSE,FALSE,FALSE,TRUE
305,486,46.14358442,63.89672727,2.485846353,304,494,25810,25552,FALSE,TRUE,FALSE,FALSE
305,494,39.4995,64.7715,3.037320324,304,539,25713,24694,FALSE,FALSE,FALSE,TRUE
305,498,37.9857479,64.76248739,2.974097281,304,548,25399,25215,FALSE,FALSE,FALSE,TRUE
305,503,79.52545161,73.81248387,24.03981454,304,549,21630,0,FALSE,FALSE,FALSE,TRUE
305,555,63.80565517,72.85282759,6.216394573,304,604,25725,25401,FALSE,TRUE,FALSE,FALSE
306,4,13.53348837,1.673581395,3.377965,0,0,25823,0,FALSE,FALSE,TRUE,FALSE
306,7,37.26258564,2.66519337,4.168244856,0,0,25824,0,FALSE,FALSE,TRUE,FALSE
306,11,38.70540933,3.883523316,5.23597147,0,0,25826,0,FALSE,FALSE,TRUE,TRUE
306,18,46.30067532,4.957090909,5.430070397,0,0,25828,0,FALSE,FALSE,TRUE,TRUE
306,24,28.32506832,5.447850932,4.987585706,0,0,25830,0,FALSE,FALSE,TRUE,TRUE
306,42,33.47810193,12.77829174,16.56682259,305,58,25626,0,FALSE,FALSE,FALSE,TRUE
306,50,55.83189577,13.75809772,13.57311671,305,53,24741,0,FALSE,FALSE,FALSE,TRUE
