Process Type,Total number of samples,Number of continuity links,Number of division links,TN,FP,FN,TP,Accuracy,Specificity,Sensitivity
Training on all data,33753,32811,942,891,51,996,31815,0.9689805350635499,0.945859872611465,0.9696443265977873
Training on train split,27002,26248,754,712,42,794,25454,0.9690393304199689,0.9442970822281167,0.9697500761962816
Evaluation on test split,6751,6563,188,179,9,206,6357,0.9681528662420382,0.9521276595744681,0.9686119152826451
