Process Type,Total number of samples,Number of highly likely correct links,Number of highly likely incorrect links,TN,FP,FN,TP,Accuracy,Specificity,Sensitivity
Training on all data,222202,33303,188899,188656,243,144,33159,0.9982583415090773,0.9987135982720925,0.9956760652193496
Training on train split,177761,26642,151119,150941,178,112,26530,0.9983685960362509,0.9988221203157777,0.9957961114030478
Evaluation on test split,44441,6661,37780,37730,50,34,6627,0.9981098535136473,0.9986765484383272,0.9948956613121153
