TimeStep,ObjectNumber,id,Orientation,label,Center_X,Center_Y,Major_axis,InstantaneousGrowthRate,InstantaneousVelocity,divideFlag,Major_axis,Minor_axis,parent_id,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50
1,1,1,-2.288454033855207,1.0,37.085954887218044,38.00409022556391,4.927362765692093,0.089,-0.005,False,4.927362765692093,1.4478681701115013,0,0.0,0
2,1,1,-2.2809143472697357,1.0,37.036595744680845,38.031829787234045,5.193353350088523,0.124,-0.031,False,5.193353350088523,1.460069522040409,0,1.0,1
3,1,1,-2.2688915918144876,1.0,37.04352631578947,37.89473684210526,5.564080729121335,0.104,0.0,False,5.564080729121335,1.4743709790500181,0,2.0,1
4,1,1,-2.252981361886284,1.0,37.051428571428566,37.88708571428571,5.874953870224536,0.136,-0.042,False,5.874953870224536,1.4433927178130657,0,3.0,1
5,1,1,-2.232053163880515,1.0,36.9585671641791,37.80107462686567,6.282757480290399,0.108,0.004,False,6.282757480290399,1.4478489537999668,0,4.0,1
6,1,1,-2.2199703207055497,1.0,36.99245454545454,37.785681818181814,6.60781065261564,0.149,-0.024,False,6.60781065261564,1.4483831734716466,0,5.0,1
7,1,1,-2.2050687587031628,1.0,36.951552,37.724543999999995,7.056223332450077,0.143,-0.029,False,7.056223332450077,1.4532744215553735,0,6.0,1
8,1,1,-2.204315135072518,1.0,36.898095717884125,37.65545591939546,7.484637076156619,,,True,7.484637076156619,1.4615977569463963,0,7.0,1
9,1,2,-2.140883442035125,1.0,36.0,36.45718385650224,4.2726712855158695,0.101,-0.019,False,4.2726712855158695,1.4076203921495083,1,8.0,1
9,2,3,-2.266579810412222,1.0,38.07075,39.22275,3.5700724432420987,0.062,0.064,False,3.5700724432420987,1.4499671548015791,1,8.0,1
10,1,2,-2.164798588315285,1.0,35.95817427385892,36.41885477178423,4.576804902069325,0.115,-0.075,False,4.576804902069325,1.4224634695674292,1,9.0,1
10,2,3,-2.2693678523688985,1.0,38.201142857142855,39.36307389162561,3.7546294963344202,0.096,0.023,False,3.7546294963344202,1.4533436106362412,1,9.0,2
11,1,2,-2.152706573598626,1.0,35.798511627906976,36.262325581395345,4.9215436521379035,0.087,-0.068,False,4.9215436521379035,1.4326884016786245,1,10.0,1
11,2,3,-2.283990924891072,1.0,38.209745454545455,39.4488,4.043198210696026,0.114,0.026,False,4.043198210696026,1.4593663156450216,1,10.0,2
12,1,2,-2.115790921422669,1.0,35.68182352941176,36.089470588235294,5.183641354095527,0.102,-0.077,False,5.183641354095527,1.4281345833762482,1,11.0,1
12,2,3,-2.31381545194291,1.0,38.24435146443514,39.522878661087866,4.384118103003654,0.105,0.016,False,4.384118103003654,1.463859095654521,1,11.0,2
13,1,2,-2.0767328563111698,1.0,35.58154703832753,35.86503135888501,5.488357783064822,0.172,-0.06,False,5.488357783064822,1.4306331921640199,1,12.0,1
13,2,3,-2.31947135297853,1.0,38.2876875,39.548249999999996,4.698330736201249,0.122,0.04,False,4.698330736201249,1.4596676781948112,1,12.0,2
14,1,2,-2.063046279036507,1.0,35.422624203821655,35.77115923566879,6.003688581539226,0.158,0.002,False,6.003688581539226,1.4368375701047595,1,13.0,1
14,2,3,-2.298470386854685,1.0,38.33420224719101,39.67173033707864,5.065288437884564,0.095,0.036,False,5.065288437884564,1.4315237377859722,1,13.0,2
15,1,2,-1.9831052981293968,1.0,35.39528571428571,35.806285714285714,6.477235558940231,,,True,6.477235558940231,1.4160991849991755,1,14.0,1
15,2,3,-2.2314070588626036,1.0,38.44601379310345,39.71371034482758,5.350350006070547,0.141,-0.072,False,5.350350006070547,1.4659362660294974,1,14.0,2
16,1,4,-1.9380923481461525,1.0,34.91703092783505,34.741855670103085,3.7416498339262474,0.101,0.03,False,3.7416498339262474,1.396160717466607,2,15.0,1
16,2,5,-1.9149246132992914,1.0,36.137890909090906,37.53163636363636,3.1703709267496065,0.096,0.114,False,3.1703709267496065,1.396697816206514,2,15.0,1
16,3,3,-2.118403166936591,1.0,38.40173114754098,39.45458360655737,5.77359914145988,0.141,-0.054,False,5.77359914145988,1.4411489997515485,1,15.0,2
17,1,4,-1.9569950196125512,1.0,34.92378947368421,34.863157894736844,4.043282846812809,0.069,0.003,False,4.043282846812809,1.3969950987521402,2,16.0,1
17,2,5,-1.9176616070592318,1.0,36.23223121387282,37.91445086705202,3.4576792976112722,0.067,0.081,False,3.4576792976112722,1.353295992926826,2,16.0,2
17,3,3,-2.08778702806169,1.0,38.30931692307692,39.31687384615384,6.196571260207729,0.129,-0.049,False,6.196571260207729,1.43419189739869,1,16.0,3
18,1,4,-1.960635345146445,1.0,34.86156053811659,34.93969506726457,4.250301206889456,0.087,-0.004,False,4.250301206889456,1.4174009835889179,2,17.0,1
18,2,5,-1.9137287038098836,1.0,36.28103225806451,38.20335483870968,3.657752471689403,0.05,0.071,False,3.657752471689403,1.3561731448550856,2,17.0,2
