Process Type,Total number of samples,Number of continuity links,Number of division links,TN,FP,FN,TP,Accuracy,Specificity,Sensitivity
Training on all data,7404,6394,1010,963,47,225,6169,0.9632631010264722,0.9534653465346534,0.9648107600875822
Training on train split,5923,5115,808,769,39,173,4942,0.964207327367888,0.9517326732673267,0.966177908113392
Evaluation on test split,1481,1279,202,194,8,44,1235,0.9648885887913572,0.9603960396039604,0.965598123534011
